Text,Token,Freq,Lemma,PoS,Tag,Dep,Shape,Sentiment
Autonomous Vehicles,Autonomous,3,Autonomous,PROPN,NNP,compound,Xxxxx,0.0
Autonomous Vehicles,Vehicles,3,Vehicles,PROPN,NNPS,ROOT,Xxxxx,0.0
B2B,B2B,8,b2b,VERB,VB,ROOT,XdX,0.0
B2C,B2C,1,B2C,PROPN,NNP,ROOT,XdX,0.0
Banking,Banking,26,banking,NOUN,NN,ROOT,Xxxxx,0.0
Basketball,Basketball,1,basketball,NOUN,NN,ROOT,Xxxxx,0.0
Battery,Battery,4,battery,NOUN,NN,ROOT,Xxxxx,0.0
Beauty,Beauty,5,beauty,NOUN,NN,ROOT,Xxxxx,0.0
Big Data,Big,5,Big,PROPN,NNP,compound,Xxx,0.0
Big Data,Data,5,Data,PROPN,NNP,ROOT,Xxxx,0.0
Billing,Billing,3,billing,NOUN,NN,ROOT,Xxxxx,0.0
Biomass Energy,Biomass,1,Biomass,PROPN,NNP,compound,Xxxxx,0.0
Biomass Energy,Energy,1,Energy,PROPN,NNP,ROOT,Xxxxx,0.0
Biopharma,Biopharma,3,Biopharma,PROPN,NNP,ROOT,Xxxxx,0.0
Biotechnology,Biotechnology,30,biotechnology,NOUN,NN,ROOT,Xxxxx,0.0
Bitcoin,Bitcoin,2,bitcoin,VERB,VB,ROOT,Xxxxx,0.0
Blockchain,Blockchain,5,blockchain,NOUN,NN,ROOT,Xxxxx,0.0
Brand Marketing,Brand,2,Brand,PROPN,NNP,compound,Xxxxx,0.0
Brand Marketing,Marketing,2,marketing,NOUN,NN,ROOT,Xxxxx,0.0
Brewing,Brewing,1,brewing,NOUN,NN,ROOT,Xxxxx,0.0
Broadcasting,Broadcasting,4,broadcast,VERB,VBG,ROOT,Xxxxx,0.0
Building Maintenance,Building,2,Building,PROPN,NNP,compound,Xxxxx,0.0
Building Maintenance,Maintenance,2,Maintenance,PROPN,NNP,ROOT,Xxxxx,0.0
Building Material,Building,14,Building,PROPN,NNP,compound,Xxxxx,0.0
Building Material,Material,14,Material,PROPN,NNP,ROOT,Xxxxx,0.0
Business Development,Business,7,Business,PROPN,NNP,compound,Xxxxx,0.0
Business Development,Development,7,Development,PROPN,NNP,ROOT,Xxxxx,0.0
Business Information Systems,Business,1,Business,PROPN,NNP,compound,Xxxxx,0.0
Business Information Systems,Information,1,Information,PROPN,NNP,compound,Xxxxx,0.0
Business Information Systems,Systems,1,Systems,PROPN,NNPS,ROOT,Xxxxx,0.0
Business Intelligence,Business,7,Business,PROPN,NNP,compound,Xxxxx,0.0
Business Intelligence,Intelligence,7,Intelligence,PROPN,NNP,ROOT,Xxxxx,0.0
Business Travel,Business,1,Business,PROPN,NNP,compound,Xxxxx,0.0
Business Travel,Travel,1,Travel,PROPN,NNP,ROOT,Xxxxx,0.0
Call Center,Call,1,Call,PROPN,NNP,compound,Xxxx,0.0
Call Center,Center,1,Center,PROPN,NNP,ROOT,Xxxxx,0.0
Cannabis,Cannabis,4,cannabis,VERB,VB,ROOT,Xxxxx,0.0
Career Planning,Career,2,career,NOUN,NN,compound,Xxxxx,0.0
Career Planning,Planning,2,planning,NOUN,NN,ROOT,Xxxxx,0.0
Casino,Casino,1,casino,NOUN,NN,ROOT,Xxxxx,0.0
Casual Games,Casual,1,Casual,PROPN,NNP,compound,Xxxxx,0.0
Casual Games,Games,1,Games,PROPN,NNPS,ROOT,Xxxxx,0.0
Catering,Catering,1,catering,NOUN,NN,ROOT,Xxxxx,0.0
Chemical,Chemical,7,chemical,NOUN,NN,ROOT,Xxxxx,0.0
Chemical Engineering,Chemical,1,Chemical,PROPN,NNP,compound,Xxxxx,0.0
Chemical Engineering,Engineering,1,Engineering,PROPN,NNP,ROOT,Xxxxx,0.0
Child Care,Child,2,child,NOUN,NN,compound,Xxxxx,0.0
Child Care,Care,2,Care,PROPN,NNP,ROOT,Xxxx,0.0
Children,Children,1,child,NOUN,NNS,ROOT,Xxxxx,0.0
Civil Engineering,Civil,3,Civil,PROPN,NNP,compound,Xxxxx,0.0
Civil Engineering,Engineering,3,Engineering,PROPN,NNP,ROOT,Xxxxx,0.0
Clean Energy,Clean,1,Clean,PROPN,NNP,compound,Xxxxx,0.0
Clean Energy,Energy,1,Energy,PROPN,NNP,ROOT,Xxxxx,0.0
CleanTech,CleanTech,2,cleantech,NOUN,NN,ROOT,XxxxxXxxx,0.0
Clinical Trials,Clinical,4,Clinical,PROPN,NNP,compound,Xxxxx,0.0
Clinical Trials,Trials,4,Trials,PROPN,NNPS,ROOT,Xxxxx,0.0
Cloud Computing,Cloud,11,Cloud,PROPN,NNP,compound,Xxxxx,0.0
Cloud Computing,Computing,11,Computing,PROPN,NNP,ROOT,Xxxxx,0.0
Cloud Data Services,Cloud,7,Cloud,PROPN,NNP,compound,Xxxxx,0.0
Cloud Data Services,Data,7,Data,PROPN,NNP,compound,Xxxx,0.0
Cloud Data Services,Services,7,Services,PROPN,NNPS,ROOT,Xxxxx,0.0
Cloud Infrastructure,Cloud,1,Cloud,PROPN,NNP,compound,Xxxxx,0.0
Cloud Infrastructure,Infrastructure,1,Infrastructure,PROPN,NNP,ROOT,Xxxxx,0.0
Cloud Management,Cloud,2,Cloud,PROPN,NNP,compound,Xxxxx,0.0
Cloud Management,Management,2,Management,PROPN,NNP,ROOT,Xxxxx,0.0
Cloud Security,Cloud,3,Cloud,PROPN,NNP,compound,Xxxxx,0.0
Cloud Security,Security,3,Security,PROPN,NNP,ROOT,Xxxxx,0.0
CMS,CMS,1,CMS,PROPN,NNP,ROOT,XXX,0.0
Collaboration,Collaboration,3,collaboration,NOUN,NN,ROOT,Xxxxx,0.0
Collectibles,Collectibles,1,collectible,NOUN,NNS,ROOT,Xxxxx,0.0
College Recruiting,College,1,College,PROPN,NNP,compound,Xxxxx,0.0
College Recruiting,Recruiting,1,Recruiting,PROPN,NNP,ROOT,Xxxxx,0.0
Commercial,Commercial,6,commercial,NOUN,NN,ROOT,Xxxxx,0.0
Commercial Insurance,Commercial,5,Commercial,PROPN,NNP,compound,Xxxxx,0.0
Commercial Insurance,Insurance,5,Insurance,PROPN,NNP,ROOT,Xxxxx,0.0
Commercial Real Estate,Commercial,3,commercial,ADJ,JJ,amod,Xxxxx,0.0
Commercial Real Estate,Real,3,Real,PROPN,NNP,compound,Xxxx,0.0
Commercial Real Estate,Estate,3,Estate,PROPN,NNP,ROOT,Xxxxx,0.0
Communication Hardware,Communication,1,Communication,PROPN,NNP,compound,Xxxxx,0.0
Communication Hardware,Hardware,1,Hardware,PROPN,NNP,ROOT,Xxxxx,0.0
Communications Infrastructure,Communications,2,Communications,PROPN,NNP,compound,Xxxxx,0.0
Communications Infrastructure,Infrastructure,2,Infrastructure,PROPN,NNP,ROOT,Xxxxx,0.0
Communities,Communities,1,community,NOUN,NNS,ROOT,Xxxxx,0.0
Compliance,Compliance,3,compliance,NOUN,NN,ROOT,Xxxxx,0.0
Computer,Computer,21,computer,NOUN,NN,ROOT,Xxxxx,0.0
Computer Vision,Computer,1,computer,NOUN,NN,compound,Xxxxx,0.0
Computer Vision,Vision,1,Vision,PROPN,NNP,ROOT,Xxxxx,0.0
Construction,Construction,28,construction,NOUN,NN,ROOT,Xxxxx,0.0
Consulting,Consulting,73,consulting,NOUN,NN,ROOT,Xxxxx,0.0
Consumer,Consumer,1,consumer,NOUN,NN,ROOT,Xxxxx,0.0
Consumer Electronics,Consumer,7,consumer,NOUN,NN,compound,Xxxxx,0.0
Consumer Electronics,Electronics,7,electronic,NOUN,NNS,ROOT,Xxxxx,0.0
Consumer Goods,Consumer,8,consumer,NOUN,NN,compound,Xxxxx,0.0
Consumer Goods,Goods,8,good,NOUN,NNS,ROOT,Xxxxx,0.0
Consumer Software,Consumer,1,Consumer,PROPN,NNP,compound,Xxxxx,0.0
Consumer Software,Software,1,Software,PROPN,NNP,ROOT,Xxxxx,0.0
Content,Content,2,content,NOUN,NN,ROOT,Xxxxx,0.0
Content Creators,Content,2,Content,PROPN,NNP,compound,Xxxxx,0.0
Content Creators,Creators,2,Creators,PROPN,NNPS,ROOT,Xxxxx,0.0
Content Delivery Network,Content,1,Content,PROPN,NNP,compound,Xxxxx,0.0
Content Delivery Network,Delivery,1,Delivery,PROPN,NNP,compound,Xxxxx,0.0
Content Delivery Network,Network,1,Network,PROPN,NNP,ROOT,Xxxxx,0.0
Content Discovery,Content,1,Content,PROPN,NNP,compound,Xxxxx,0.0
Content Discovery,Discovery,1,Discovery,PROPN,NNP,ROOT,Xxxxx,0.0
Content Marketing,Content,2,Content,PROPN,NNP,compound,Xxxxx,0.0
Content Marketing,Marketing,2,Marketing,PROPN,NNP,ROOT,Xxxxx,0.0
Cosmetics,Cosmetics,3,cosmetic,NOUN,NNS,ROOT,Xxxxx,0.0
Courier Service,Courier,2,Courier,PROPN,NNP,compound,Xxxxx,0.0
Courier Service,Service,2,Service,PROPN,NNP,ROOT,Xxxxx,0.0
Creative Agency,Creative,2,creative,ADJ,JJ,amod,Xxxxx,0.0
Creative Agency,Agency,2,Agency,PROPN,NNP,ROOT,Xxxxx,0.0
Credit Cards,Credit,3,Credit,PROPN,NNP,compound,Xxxxx,0.0
Credit Cards,Cards,3,Cards,PROPN,NNPS,ROOT,Xxxxx,0.0
CRM,CRM,10,CRM,PROPN,NNP,ROOT,XXX,0.0
Crowdfunding,Crowdfunding,4,crowdfunde,VERB,VBG,ROOT,Xxxxx,0.0
Cryptocurrency,Cryptocurrency,4,cryptocurrency,NOUN,NN,ROOT,Xxxxx,0.0
Customer Service,Customer,7,Customer,PROPN,NNP,compound,Xxxxx,0.0
Customer Service,Service,7,Service,PROPN,NNP,ROOT,Xxxxx,0.0
Cyber Security,Cyber,10,Cyber,PROPN,NNP,compound,Xxxxx,0.0
Cyber Security,Security,10,Security,PROPN,NNP,ROOT,Xxxxx,0.0
Data Center,Data,3,Data,PROPN,NNP,compound,Xxxx,0.0
Data Center,Center,3,Center,PROPN,NNP,ROOT,Xxxxx,0.0
Data Center Automation,Data,1,Data,PROPN,NNP,compound,Xxxx,0.0
Data Center Automation,Center,1,Center,PROPN,NNP,compound,Xxxxx,0.0
Data Center Automation,Automation,1,Automation,PROPN,NNP,ROOT,Xxxxx,0.0
Data Integration,Data,3,Data,PROPN,NNP,compound,Xxxx,0.0
Data Integration,Integration,3,Integration,PROPN,NNP,ROOT,Xxxxx,0.0
Data Visualization,Data,3,Data,PROPN,NNP,compound,Xxxx,0.0
Data Visualization,Visualization,3,Visualization,PROPN,NNP,ROOT,Xxxxx,0.0
Database,Database,2,Database,PROPN,NNP,ROOT,Xxxxx,0.0
Delivery,Delivery,2,delivery,NOUN,NN,ROOT,Xxxxx,0.0
Delivery Service,Delivery,2,Delivery,PROPN,NNP,compound,Xxxxx,0.0
Delivery Service,Service,2,Service,PROPN,NNP,ROOT,Xxxxx,0.0
Dental,Dental,1,dental,ADJ,JJ,ROOT,Xxxxx,0.0
Developer Tools,Developer,4,developer,NOUN,NN,compound,Xxxxx,0.0
Developer Tools,Tools,4,Tools,PROPN,NNPS,ROOT,Xxxxx,0.0
Digital Entertainment,Digital,6,Digital,PROPN,NNP,compound,Xxxxx,0.0
Digital Entertainment,Entertainment,6,Entertainment,PROPN,NNP,ROOT,Xxxxx,0.0
Digital Marketing,Digital,13,Digital,PROPN,NNP,compound,Xxxxx,0.0
Digital Marketing,Marketing,13,Marketing,PROPN,NNP,ROOT,Xxxxx,0.0
Digital Media,Digital,10,Digital,PROPN,NNP,compound,Xxxxx,0.0
Digital Media,Media,10,medium,NOUN,NNS,ROOT,Xxxxx,0.0
Digital Signage,Digital,2,Digital,PROPN,NNP,compound,Xxxxx,0.0
Digital Signage,Signage,2,Signage,PROPN,NNP,ROOT,Xxxxx,0.0
Diving,Diving,1,diving,NOUN,NN,ROOT,Xxxxx,0.0
Document Management,Document,3,document,NOUN,NN,compound,Xxxxx,0.0
Document Management,Management,3,Management,PROPN,NNP,ROOT,Xxxxx,0.0
Document Preparation,Document,2,document,NOUN,NN,compound,Xxxxx,0.0
Document Preparation,Preparation,2,Preparation,PROPN,NNP,ROOT,Xxxxx,0.0
Drones,Drones,1,drone,NOUN,NNS,ROOT,Xxxxx,0.0
E-Commerce,E,31,E,PROPN,NNP,ROOT,X,0.0
E-Commerce,-,31,-,PROPN,NNP,punct,-,0.0
E-Commerce,Commerce,31,commerce,NOUN,NN,appos,Xxxxx,0.0
Ediscovery,Ediscovery,1,Ediscovery,PROPN,NNP,ROOT,Xxxxx,0.0
EdTech,EdTech,5,EdTech,PROPN,NNP,ROOT,XxXxxx,0.0
Education,Education,25,education,NOUN,NN,ROOT,Xxxxx,0.0
E-Learning,E,9,e,NOUN,NN,compound,X,0.0
E-Learning,-,9,-,NOUN,NN,punct,-,0.0
E-Learning,Learning,9,learning,NOUN,NN,ROOT,Xxxxx,0.0
Electric Vehicle,Electric,4,Electric,PROPN,NNP,compound,Xxxxx,0.0
Electric Vehicle,Vehicle,4,Vehicle,PROPN,NNP,ROOT,Xxxxx,0.0
Electrical Distribution,Electrical,6,electrical,ADJ,JJ,amod,Xxxxx,0.0
Electrical Distribution,Distribution,6,distribution,NOUN,NN,ROOT,Xxxxx,0.0
Electronic Design Automation (EDA),Electronic,2,Electronic,PROPN,NNP,compound,Xxxxx,0.0
Electronic Design Automation (EDA),Design,2,Design,PROPN,NNP,compound,Xxxxx,0.0
Electronic Design Automation (EDA),Automation,2,Automation,PROPN,NNP,ROOT,Xxxxx,0.0
Electronic Design Automation (EDA),(,2,(,PUNCT,-LRB-,punct,(,0.0
Electronic Design Automation (EDA),EDA,2,EDA,PROPN,NNP,appos,XXX,0.0
Electronic Design Automation (EDA),),2,),PUNCT,-RRB-,punct,),0.0
Electronics,Electronics,13,electronic,NOUN,NNS,ROOT,Xxxxx,0.0
Email,Email,3,email,NOUN,NN,ROOT,Xxxxx,0.0
Emergency Medicine,Emergency,1,Emergency,PROPN,NNP,compound,Xxxxx,0.0
Emergency Medicine,Medicine,1,Medicine,PROPN,NNP,ROOT,Xxxxx,0.0
Emerging Markets,Emerging,1,emerge,VERB,VBG,amod,Xxxxx,0.0
Emerging Markets,Markets,1,market,NOUN,NNS,ROOT,Xxxxx,0.0
Employee Benefits,Employee,6,employee,NOUN,NN,compound,Xxxxx,0.0
Employee Benefits,Benefits,6,benefit,NOUN,NNS,ROOT,Xxxxx,0.0
Employment,Employment,4,employment,NOUN,NN,ROOT,Xxxxx,0.0
Energy,Energy,24,energy,NOUN,NN,ROOT,Xxxxx,0.0
Energy Efficiency,Energy,1,Energy,PROPN,NNP,compound,Xxxxx,0.0
Energy Efficiency,Efficiency,1,Efficiency,PROPN,NNP,ROOT,Xxxxx,0.0
Energy Management,Energy,3,Energy,PROPN,NNP,compound,Xxxxx,0.0
Energy Management,Management,3,Management,PROPN,NNP,ROOT,Xxxxx,0.0
Energy Storage,Energy,3,Energy,PROPN,NNP,compound,Xxxxx,0.0
Energy Storage,Storage,3,Storage,PROPN,NNP,ROOT,Xxxxx,0.0
Enterprise,Enterprise,1,enterprise,NOUN,NN,ROOT,Xxxxx,0.0
Enterprise Applications,Enterprise,1,enterprise,NOUN,NN,compound,Xxxxx,0.0
Enterprise Applications,Applications,1,Applications,PROPN,NNPS,ROOT,Xxxxx,0.0
Enterprise Resource Planning (ERP),Enterprise,6,Enterprise,PROPN,NNP,compound,Xxxxx,0.0
Enterprise Resource Planning (ERP),Resource,6,Resource,PROPN,NNP,compound,Xxxxx,0.0
Enterprise Resource Planning (ERP),Planning,6,Planning,PROPN,NNP,ROOT,Xxxxx,0.0
Enterprise Resource Planning (ERP),(,6,(,PUNCT,-LRB-,punct,(,0.0
Enterprise Resource Planning (ERP),ERP,6,ERP,PROPN,NNP,appos,XXX,0.0
Enterprise Resource Planning (ERP),),6,),PUNCT,-RRB-,punct,),0.0
Enterprise Software,Enterprise,17,Enterprise,PROPN,NNP,compound,Xxxxx,0.0
Enterprise Software,Software,17,Software,PROPN,NNP,ROOT,Xxxxx,0.0
Environmental Consulting,Environmental,10,Environmental,PROPN,NNP,compound,Xxxxx,0.0
Environmental Consulting,Consulting,10,Consulting,PROPN,NNP,ROOT,Xxxxx,0.0
Environmental Engineering,Environmental,6,Environmental,PROPN,NNP,compound,Xxxxx,0.0
Environmental Engineering,Engineering,6,Engineering,PROPN,NNP,ROOT,Xxxxx,0.0
E-Signature,E,1,e,NOUN,NN,ROOT,X,0.0
E-Signature,-,1,-,ADJ,JJ,punct,-,0.0
E-Signature,Signature,1,signature,NOUN,NN,ROOT,Xxxxx,0.0
eSports,eSports,1,esport,NOUN,NNS,ROOT,xXxxxx,0.0
Event Management,Event,1,event,NOUN,NN,compound,Xxxxx,0.0
Event Management,Management,1,management,NOUN,NN,ROOT,Xxxxx,0.0
Event Promotion,Event,1,event,NOUN,NN,compound,Xxxxx,0.0
Event Promotion,Promotion,1,promotion,NOUN,NN,ROOT,Xxxxx,0.0
Events,Events,6,event,NOUN,NNS,ROOT,Xxxxx,0.0
Extermination Service,Extermination,1,Extermination,PROPN,NNP,compound,Xxxxx,0.0
Extermination Service,Service,1,Service,PROPN,NNP,ROOT,Xxxxx,0.0
Facility Management,Facility,1,Facility,PROPN,NNP,compound,Xxxxx,0.0
Facility Management,Management,1,Management,PROPN,NNP,ROOT,Xxxxx,0.0
Family,Family,3,family,NOUN,NN,ROOT,Xxxxx,0.0
Fantasy Sports,Fantasy,1,Fantasy,PROPN,NNP,compound,Xxxxx,0.0
Fantasy Sports,Sports,1,Sports,PROPN,NNPS,ROOT,Xxxxx,0.0
Farming,Farming,1,farm,VERB,VBG,ROOT,Xxxxx,0.0
Fashion,Fashion,6,fashion,NOUN,NN,ROOT,Xxxxx,0.0
Fast-Moving Consumer Goods,Fast,1,fast,ADV,RB,advmod,Xxxx,0.0
Fast-Moving Consumer Goods,-,1,-,PUNCT,HYPH,punct,-,0.0
Fast-Moving Consumer Goods,Moving,1,move,VERB,VBG,amod,Xxxxx,0.0
Fast-Moving Consumer Goods,Consumer,1,Consumer,PROPN,NNP,compound,Xxxxx,0.0
Fast-Moving Consumer Goods,Goods,1,good,NOUN,NNS,ROOT,Xxxxx,0.0
Field Support,Field,1,field,NOUN,NN,compound,Xxxxx,0.0
Field Support,Support,1,support,NOUN,NN,ROOT,Xxxxx,0.0
Film,Film,3,film,NOUN,NN,ROOT,Xxxx,0.0
Film Production,Film,1,Film,PROPN,NNP,compound,Xxxx,0.0
Film Production,Production,1,Production,PROPN,NNP,ROOT,Xxxxx,0.0
Finance,Finance,28,finance,NOUN,NN,ROOT,Xxxxx,0.0
Financial Exchanges,Financial,1,financial,ADJ,JJ,compound,Xxxxx,0.0
Financial Exchanges,Exchanges,1,exchange,NOUN,NNS,ROOT,Xxxxx,0.0
Financial Services,Financial,96,Financial,PROPN,NNP,compound,Xxxxx,0.0
Financial Services,Services,96,Services,PROPN,NNPS,ROOT,Xxxxx,0.0
FinTech,FinTech,27,fintech,NOUN,NN,ROOT,XxxXxxx,0.0
Fitness,Fitness,8,fitness,NOUN,NN,ROOT,Xxxxx,0.0
Fleet Management,Fleet,3,Fleet,PROPN,NNP,compound,Xxxxx,0.0
Fleet Management,Management,3,Management,PROPN,NNP,ROOT,Xxxxx,0.0
Flowers,Flowers,2,flower,NOUN,NNS,ROOT,Xxxxx,0.0
Food and Beverage,Food,16,food,NOUN,NN,ROOT,Xxxx,0.0
Food and Beverage,and,16,and,CCONJ,CC,cc,xxx,0.0
Food and Beverage,Beverage,16,Beverage,PROPN,NNP,conj,Xxxxx,0.0
Food Delivery,Food,3,Food,PROPN,NNP,compound,Xxxx,0.0
Food Delivery,Delivery,3,Delivery,PROPN,NNP,ROOT,Xxxxx,0.0
Food Processing,Food,8,food,NOUN,NN,compound,Xxxx,0.0
Food Processing,Processing,8,processing,NOUN,NN,ROOT,Xxxxx,0.0
Fraud Detection,Fraud,1,Fraud,PROPN,NNP,compound,Xxxxx,0.0
Fraud Detection,Detection,1,Detection,PROPN,NNP,ROOT,Xxxxx,0.0
Freelance,Freelance,1,freelance,NOUN,NN,ROOT,Xxxxx,0.0
Freight Service,Freight,5,Freight,PROPN,NNP,compound,Xxxxx,0.0
Freight Service,Service,5,Service,PROPN,NNP,ROOT,Xxxxx,0.0
Fuel,Fuel,1,fuel,NOUN,NN,ROOT,Xxxx,0.0
Funding Platform,Funding,3,funding,NOUN,NN,compound,Xxxxx,0.0
Funding Platform,Platform,3,Platform,PROPN,NNP,ROOT,Xxxxx,0.0
Funerals,Funerals,1,funeral,NOUN,NNS,ROOT,Xxxxx,0.0
Furniture,Furniture,1,furniture,NOUN,NN,ROOT,Xxxxx,0.0
Gambling,Gambling,1,gambling,NOUN,NN,ROOT,Xxxxx,0.0
Gaming,Gaming,14,game,VERB,VBG,ROOT,Xxxxx,0.0
Genetics,Genetics,2,genetic,NOUN,NNS,ROOT,Xxxxx,0.0
Geospatial,Geospatial,2,geospatial,NOUN,NN,ROOT,Xxxxx,0.0
Gift,Gift,1,gift,NOUN,NN,ROOT,Xxxx,0.0
Golf,Golf,1,golf,NOUN,NN,ROOT,Xxxx,0.0
Government,Government,2,government,NOUN,NN,ROOT,Xxxxx,0.0
GovTech,GovTech,1,GovTech,PROPN,NNP,ROOT,XxxXxxx,0.0
Graphic Design,Graphic,4,Graphic,PROPN,NNP,compound,Xxxxx,0.0
Graphic Design,Design,4,Design,PROPN,NNP,ROOT,Xxxxx,0.0
Grocery,Grocery,3,grocery,NOUN,NN,ROOT,Xxxxx,0.0
Hardware,Hardware,12,hardware,NOUN,NN,ROOT,Xxxxx,0.0
Health Care,Health,95,Health,PROPN,NNP,compound,Xxxxx,0.0
Health Care,Care,95,Care,PROPN,NNP,ROOT,Xxxx,0.0
Health Diagnostics,Health,8,Health,PROPN,NNP,compound,Xxxxx,0.0
Health Diagnostics,Diagnostics,8,Diagnostics,PROPN,NNPS,ROOT,Xxxxx,0.0
Health Insurance,Health,5,Health,PROPN,NNP,compound,Xxxxx,0.0
Health Insurance,Insurance,5,Insurance,PROPN,NNP,ROOT,Xxxxx,0.0
Hedge Funds,Hedge,1,Hedge,PROPN,NNP,compound,Xxxxx,0.0
Hedge Funds,Funds,1,Funds,PROPN,NNPS,ROOT,Xxxxx,0.0
Higher Education,Higher,1,high,ADJ,JJR,compound,Xxxxx,0.0
Higher Education,Education,1,education,NOUN,NN,ROOT,Xxxxx,0.0
Hockey,Hockey,1,hockey,NOUN,NN,ROOT,Xxxxx,0.0
Home and Garden,Home,2,home,NOUN,NN,ROOT,Xxxx,0.0
Home and Garden,and,2,and,CCONJ,CC,cc,xxx,0.0
Home and Garden,Garden,2,Garden,PROPN,NNP,conj,Xxxxx,0.0
Home Health Care,Home,3,Home,PROPN,NNP,compound,Xxxx,0.0
Home Health Care,Health,3,Health,PROPN,NNP,compound,Xxxxx,0.0
Home Health Care,Care,3,Care,PROPN,NNP,ROOT,Xxxx,0.0
Home Improvement,Home,1,Home,PROPN,NNP,compound,Xxxx,0.0
Home Improvement,Improvement,1,improvement,NOUN,NN,ROOT,Xxxxx,0.0
Home Renovation,Home,1,Home,PROPN,NNP,compound,Xxxx,0.0
Home Renovation,Renovation,1,renovation,NOUN,NN,ROOT,Xxxxx,0.0
Horticulture,Horticulture,1,horticulture,VERB,VB,ROOT,Xxxxx,0.0
Hospital,Hospital,14,hospital,NOUN,NN,ROOT,Xxxxx,0.0
Hospitality,Hospitality,5,hospitality,NOUN,NN,ROOT,Xxxxx,0.0
