Text,Token,Start Index,End Index,Entity Label,Knowledge Base ID
"The 20 MSP specializes in MSP Business Development, providing MSP Consulting and MSP Network Support.",MSP Consulting,62,76,ORG,
"The 20 MSP specializes in MSP Business Development, providing MSP Consulting and MSP Network Support.",MSP Network Support,81,100,ORG,
eBay is an online marketplace that connects a global network of buyers and sellers.,eBay,0,4,ORG,
Ironbridge is a Toronto-based private equity firm focused exclusively on investing in companies in the Canadian lower middle-market.,Ironbridge,0,10,ORG,
Ironbridge is a Toronto-based private equity firm focused exclusively on investing in companies in the Canadian lower middle-market.,Toronto,16,23,GPE,
Ironbridge is a Toronto-based private equity firm focused exclusively on investing in companies in the Canadian lower middle-market.,Canadian,103,111,NORP,
"Ooma creates powerful connected experiences in home and small business telecommunications service, as well as affordable home security.",Ooma,0,4,GPE,
Novo Nordisk is a global healthcare company with more than 90 years of innovation and leadership in diabetes care.,Novo Nordisk,0,12,PERSON,
Novo Nordisk is a global healthcare company with more than 90 years of innovation and leadership in diabetes care.,more than 90 years,49,67,DATE,
"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.",digital,104,111,ORG,
Zynga is a mobile game developer that creates and operates social games as live services played on the Internet.,Zynga,0,5,PERSON,
"Paradigm Media Entertainment provides extensive entertainment, publishing, brand partnership, and news media services of each business.",Paradigm Media Entertainment,0,28,ORG,
"Paradigm Media Entertainment provides extensive entertainment, publishing, brand partnership, and news media services of each business.",Paradigm Media Entertainment,0,28,ORG,
"Paradigm Media Entertainment provides extensive entertainment, publishing, brand partnership, and news media services of each business.",Paradigm Media Entertainment,0,28,ORG,
"Nazara Technologies develops mobile content such as games, themes, wallpapers, and multimedia.",Nazara Technologies,0,19,ORG,
Laposte is a French company which provides offline and online postal services for customers and businesses.,French,13,19,NORP,
"CCU is a multi-category beverage company, with operations in Chile, Argentina, Bolivia, Colombia, Paraguay and Uruguay.",CCU,0,3,ORG,
"CCU is a multi-category beverage company, with operations in Chile, Argentina, Bolivia, Colombia, Paraguay and Uruguay.",Chile,61,66,GPE,
"CCU is a multi-category beverage company, with operations in Chile, Argentina, Bolivia, Colombia, Paraguay and Uruguay.",Argentina,68,77,GPE,
"CCU is a multi-category beverage company, with operations in Chile, Argentina, Bolivia, Colombia, Paraguay and Uruguay.",Bolivia,79,86,GPE,
"CCU is a multi-category beverage company, with operations in Chile, Argentina, Bolivia, Colombia, Paraguay and Uruguay.",Colombia,88,96,GPE,
"CCU is a multi-category beverage company, with operations in Chile, Argentina, Bolivia, Colombia, Paraguay and Uruguay.",Paraguay,98,106,ORG,
"CCU is a multi-category beverage company, with operations in Chile, Argentina, Bolivia, Colombia, Paraguay and Uruguay.",Uruguay,111,118,GPE,
"GISI specializes in engineering consulting, project management, infrastructure, and construction services.",GISI,0,4,ORG,
Hitachi is engaged in the manufacture and sale of electronic and electrical products worldwide.,Hitachi,0,7,ORG,
Aquila is a category leaders across software to reach new heights.,Aquila,0,6,PERSON,
VetCor is a company which provides resources and knowledge sharing to help partners expand and grow their veterinary practice.,VetCor,0,6,PRODUCT,
Sitio Royalties is a pure-play mineral and royalty company. It provides cost advantaged oil and gas exposure.,Sitio Royalties,0,15,PERSON,
"IppoPay is a fintech startups that provides digital payment, gateway, and payouts solutions for SMEs, homeprenures, and freelancers.",IppoPay,0,7,ORG,
"Vistry Group Plc is a Real Estate Company that aims to be responsible, accountable and ethical in everything they do.",Vistry Group Plc,0,16,ORG,
"Vistry Group Plc is a Real Estate Company that aims to be responsible, accountable and ethical in everything they do.",a Real Estate Company,20,41,ORG,
"ASSA ABLOY Group is a door opening solutions, dedicated to satisfying end-user needs for security, safety, and convenience.",ASSA ABLOY Group,0,16,ORG,
"The 20 MSP specializes in MSP Business Development, providing MSP Consulting and MSP Network Support.",20,4,6,CARDINAL,
"The 20 MSP specializes in MSP Business Development, providing MSP Consulting and MSP Network Support.",MSP,7,10,ORG,
"The 20 MSP specializes in MSP Business Development, providing MSP Consulting and MSP Network Support.",MSP Business Development,26,50,ORG,
"The 20 MSP specializes in MSP Business Development, providing MSP Consulting and MSP Network Support.",MSP Consulting,62,76,ORG,
"The 20 MSP specializes in MSP Business Development, providing MSP Consulting and MSP Network Support.",MSP Network Support,81,100,ORG,
"The 20 MSP specializes in MSP Business Development, providing MSP Consulting and MSP Network Support.",20,4,6,CARDINAL,
"The 20 MSP specializes in MSP Business Development, providing MSP Consulting and MSP Network Support.",MSP,7,10,ORG,
"The 20 MSP specializes in MSP Business Development, providing MSP Consulting and MSP Network Support.",MSP Business Development,26,50,ORG,
"The 20 MSP specializes in MSP Business Development, providing MSP Consulting and MSP Network Support.",MSP Consulting,62,76,ORG,
"The 20 MSP specializes in MSP Business Development, providing MSP Consulting and MSP Network Support.",MSP Network Support,81,100,ORG,
"Meta is a social technology company that enables people to connect, find communities, and grow businesses.",Meta,0,4,ORG,
Veritas Capital is a private equity investment firm that invests in companies that provide critical products and services.,Veritas Capital,0,15,ORG,
Park Systems Corp. is a manufacturer of atomic force microscopy (AFM) systems.,Park Systems Corp.,0,18,ORG,
Qonto is an online bank that provides financial tools for small and medium-sized businesses and freelancers.,Qonto,0,5,ORG,
"Carta is a global ownership management platform that helps companies, investors, and employees manage equity and ownership.",Carta,0,5,GPE,
Wunderman Thompson is a growth partner and part technology company.,Wunderman Thompson,0,18,PERSON,
Rio Tinto is a mining and metals company.,Rio Tinto,0,9,ORG,
SK Capital Partners is a sector-focused private investment firm that utilizes a transformational approach to value creation.,SK Capital Partners,0,19,ORG,
"ConnectWise is a software company that transforms how technology solution providers build, manage, and grow their businesses.",ConnectWise,0,11,ORG,
Huspy is a proptech company that simplifies the home financing process.,Huspy,0,5,ORG,
"IKAV specializes in energy efficiency investment along with providing finance, evaluation, procurement, and operation services for energy.",IKAV,0,4,ORG,
McCain Foods is a family-owned business and manufacturer of frozen potato products and a global leader in prepared appetizers and snacks.,McCain Foods,0,12,ORG,
"Amazon is an e-commerce website for consumers, sellers, and content creators.",Amazon,0,6,ORG,
NorthMarq Capital has provided debt and equity to commercial real estate owners.,NorthMarq Capital,0,17,ORG,
"Williams Field Services Group engages in gathering, processing, exploring, and producing natural gas in the United States.",Williams Field Services Group,0,29,ORG,
"Williams Field Services Group engages in gathering, processing, exploring, and producing natural gas in the United States.",the United States,104,121,GPE,
BenefitMall is the fastest growing provider of integrated payroll and employee benefits products and services.,BenefitMall,0,11,ORG,
"Kotak Securities, a subsidiary of Kotak Mahindra Bank, is the stock broking and distribution arm of the Kotak Mahindra Group.",Kotak Securities,0,16,ORG,
"Kotak Securities, a subsidiary of Kotak Mahindra Bank, is the stock broking and distribution arm of the Kotak Mahindra Group.",Kotak Mahindra Bank,34,53,ORG,
"Kotak Securities, a subsidiary of Kotak Mahindra Bank, is the stock broking and distribution arm of the Kotak Mahindra Group.",the Kotak Mahindra Group,100,124,ORG,
Argyle Capital is a private equity firm focused on partnering with family-owned businesses in the lower middle market.,Argyle Capital,0,14,ORG,
Dechra is an international specialist veterinary pharmaceuticals and related products business.,Dechra,0,6,ORG,
"Polygon is specialized in property damage restoration, serving a range of sectors including insurance, property management, and government.",Polygon,0,7,ORG,
"Galetech is a renewable energy company which is involved in project development, management, and related services in the electricity.",Galetech,0,8,ORG,
Harris Computer Systems is an industry leading software solutions that provides choice for life programs.,Harris Computer Systems,0,23,ORG,
"DCC is a international sales, marketing and support services group.",DCC,0,3,ORG,
"Ualá is a fintech company that offers a financial ecosystem through an app, linked to a free international Mastercard card.",Mastercard,107,117,ORG,
Instacart is an online grocery platform that offers same-day delivery and pickup services for retailers and consumers.,Instacart,0,9,ORG,
Instacart is an online grocery platform that offers same-day delivery and pickup services for retailers and consumers.,same-day,52,60,DATE,
Focus Group is a leading independent UK supplier of bespoke business solutions.,Focus Group,0,11,ORG,
Focus Group is a leading independent UK supplier of bespoke business solutions.,UK,37,39,GPE,
Roche is a pharmaceutical and diagnostics company that focuses on improving people’s lives.,Roche,0,5,ORG,
Wayside Technology Group is an international technology channel company that markets software.,Wayside Technology Group,0,24,ORG,
"Sagicor Financial Corporation, together with its subsidiaries, provides financial products and services in the Caribbean.",Sagicor Financial Corporation,0,29,ORG,
"Sagicor Financial Corporation, together with its subsidiaries, provides financial products and services in the Caribbean.",Caribbean,111,120,LOC,
Tanweer Infrastructure provides infrastructural facilities.,Tanweer Infrastructure,0,22,ORG,
"JP Morgan offers financial services, serving large multinationals, emerging companies, institutional investor, and individuals.",JP Morgan,0,9,ORG,
MRH Trowe is an independent financial service provider.,MRH Trowe,0,9,ORG,
HotelOnline is a revenue partner for hotels.,HotelOnline,0,11,ORG,
Gulf Coast Bank &amp; Trust is one of the largest community banks in Southeast Louisiana.,Gulf Coast Bank &,0,17,ORG,
Gulf Coast Bank &amp; Trust is one of the largest community banks in Southeast Louisiana.,Southeast Louisiana,69,88,LOC,
OpenText is the leader in Enterprise Information Management (EIM).,OpenText,0,8,ORG,
OpenText is the leader in Enterprise Information Management (EIM).,Enterprise Information Management,26,59,ORG,
OpenText is the leader in Enterprise Information Management (EIM).,EIM,61,64,ORG,
"SGS is the inspection, verification, testing and certification company.",SGS,0,3,ORG,
PayU Finance India is a digital lending company.,Finance India,5,18,LOC,
AdvertiseCast is an independent and fastest-growing podcast advertising companies.,AdvertiseCast,0,13,ORG,
RailWorks builds and maintains rail transportation infrastructure.,RailWorks,0,9,PRODUCT,
Gibraltar Industries is a manufacturer of materials used in the construction of a variety of buildings.,Gibraltar Industries,0,20,ORG,
Burlington Capital Partners is a private equity company that makes investments in lower middle-market industrial and food companies.,Burlington Capital Partners,0,27,ORG,
Bango is the standard platform chosen by leading global stores to deliver mobile payments to everyone.,Bango,0,5,PERSON,
Vendilli Digital is a web design and inbound marketing company.,Vendilli Digital,0,16,PERSON,
Private Equity Investor for the German Internet &amp; Software Mittelstand,the German Internet &,28,49,ORG,
Private Equity Investor for the German Internet &amp; Software Mittelstand,Software,54,62,ORG,
SOEDESCO is a publisher of both digital and boxed games on multiple platforms.,SOEDESCO,0,8,PERSON,
"Jack Henry &amp; Associates, Inc. provides integrated computer systems for in-house and outsourced data processing to commercial banks.",Jack Henry &amp,0,15,ORG,
"Jack Henry &amp; Associates, Inc. provides integrated computer systems for in-house and outsourced data processing to commercial banks.","Associates, Inc.",17,33,ORG,
Blue Point Capital Partners is a private equity firm that invests in growing lower middle-market companies.,Blue Point Capital Partners,0,27,ORG,
"Hudson Pacific Properties, Inc. is a full-service, vertically integrated real estate company focused on owning,","Hudson Pacific Properties, Inc.",0,31,ORG,
"SSI Diagnostica developed, produced and sold in vitro diagnostica for clinical microbiology, veterinary diagnostics.",Diagnostica,4,15,PERSON,
"SSI Diagnostica developed, produced and sold in vitro diagnostica for clinical microbiology, veterinary diagnostics.",diagnostica,54,65,ORG,
Outdoor Living Supply is a distribution platform for outdoor living products with a focus on hardscapes.,Outdoor Living Supply,0,21,ORG,
Beqom provides a total compensation cloud solution that addresses all aspects of compensation and performance for both sales and HR.,Beqom,0,5,GPE,
Genstar Capital is a private equity firm that invests in leading middle-market companies.,Genstar Capital,0,15,ORG,
Main Capital Partners is a private equity company focused on software industry and management buyouts.,Main Capital Partners,0,21,ORG,
Main Capital Partners is a private equity company focused on software industry and management buyouts.,Main Capital Partners,0,21,ORG,
"eToro is a social trading and investment network that allows users to trade currencies, commodities, indices, crypto assets and stocks.",eToro,0,5,ORG,
Movement Interactive is a tech start-up developing a wearable technology to detect and report Traumatic Brain Injury in youth sports.,Traumatic Brain Injury,94,116,ORG,
"NTT DATA Business Solutions designs, implements, manages, and continuously enhances SAP solutions.",NTT DATA Business Solutions,0,27,ORG,
"Roper Technologies is a diversified company that designs, manufactures, and distributes radio frequency (RF) products and services.",Roper Technologies,0,18,ORG,
Francks Kylindustri provides technical solutions for industrial heating and cooling.,Francks Kylindustri,0,19,PERSON,
"GoTo Group offers an application used for ride-hailing, food delivery, and other services.",GoTo Group,0,10,ORG,
Igneo Infrastructure Partners is an autonomous investment team in the First Sentier Investors Group.,Igneo Infrastructure Partners,0,29,ORG,
Igneo Infrastructure Partners is an autonomous investment team in the First Sentier Investors Group.,First Sentier Investors Group,70,99,ORG,
"DISYS provides IT staffing and consulting, finance and professional services, ERP services, and infrastructure support services.",DISYS,0,5,ORG,
"DISYS provides IT staffing and consulting, finance and professional services, ERP services, and infrastructure support services.",ERP,78,81,ORG,
Pathway Healthcare is a provider of office-based medical and behavioral treatment for drug and alcohol addiction and dependency.,Pathway Healthcare,0,18,PERSON,
"Atlas Arteria is a global owner, operator, and developer of toll roads, providing well-served transport links.",Atlas Arteria,0,13,PERSON,
BaltCap is a private equity firm focusing on small and midmarket buyout and expansion capital investments in the Baltic States.,BaltCap,0,7,ORG,
BaltCap is a private equity firm focusing on small and midmarket buyout and expansion capital investments in the Baltic States.,the Baltic States,109,126,GPE,
Neogen Corp. is a developer of food and animal safety products.,Neogen Corp.,0,12,ORG,
BuildCentral provides information and marketing services to the construction industry.,BuildCentral,0,12,ORG,
"Commodity brokerage of CHS Inc providing market intelligence, insight and price risk management to farmers, ranchers and agribusinesses.",CHS Inc,23,30,ORG,
"Cambridge Capital is a private equity firm investing in the applied supply chain, including transportation, logistics, and technology",Cambridge Capital,0,17,ORG,
Silverback United focused on unlocking and activating the inherent value in treating data as an asset.,Silverback United,0,17,PERSON,
"Ste. Michelle Wine Estates is a collection of distinctive wine estates and producing, selling wines.",Ste,0,3,GPE,
"Ste. Michelle Wine Estates is a collection of distinctive wine estates and producing, selling wines.",Michelle Wine Estates,5,26,PERSON,
Firebolt is a leader in the world of brand display solutions.,Firebolt,0,8,PERSON,
"Stora Enso is the global rethinker of the paper, biomaterials, wood products and packaging industry.",Stora Enso,0,10,PERSON,
"New Yorker Electronics is a global franchised distributor of electronic components, discrete semiconductors and supply chain services.",New Yorker Electronics,0,22,ORG,
Mensa Brands is an investment firm that partners with entrepreneurs to build digital brands and scale them.,Mensa Brands,0,12,ORG,
"Arch Amenities Group is a provider of wellness, amenity, and meeting services for commercial and residential properties, and hotels.",Arch Amenities Group,0,20,ORG,
"BG is the design and maintenance of outdoor spaces in single-family homes, villages, public buildings, shopping malls, and other settings.",BG,0,2,GPE,
Allegro Microsystems manufactures ultra-modern regulators and magnetic sensors for motion control and energy efficiency.,Allegro Microsystems,0,20,ORG,
Cogent Communications Group is a facility-based provider of internet access and internet protocol communications services.,Cogent Communications Group,0,27,ORG,
Dunes Point Capital is a family office and private investment firm.,Dunes Point Capital,0,19,ORG,
"Federation Entertainment heralds a new model for the creation, production, distribution and marketing of high quality TV shows.",Federation Entertainment,0,24,ORG,
"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.",digital,104,111,ORG,
"BroadcastMed is an end-to-end video solutions company. Our media platform, production and promotion solutions deliver data-driven results.",BroadcastMed,0,12,ORG,
"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.",digital,104,111,ORG,
"Exaktera, a holding company founded by Union Park Capital, is establishing a family of businesses focused on critical components.",Exaktera,0,8,ORG,
"Exaktera, a holding company founded by Union Park Capital, is establishing a family of businesses focused on critical components.",Union Park Capital,39,57,ORG,
AFCO Credit Corporation is a financial services provider in Pennsylvania.,AFCO Credit Corporation,0,23,ORG,
AFCO Credit Corporation is a financial services provider in Pennsylvania.,Pennsylvania,60,72,GPE,
The Timken Company provides friction management and power transmission solutions for many major market segments.,The Timken Company,0,18,ORG,
"Church &amp; Dwight Co., Inc. develops, manufactures and markets a range of household, personal care and specialty products.",Church &,0,8,ORG,
"Church &amp; Dwight Co., Inc. develops, manufactures and markets a range of household, personal care and specialty products.",Dwight Co.,13,23,ORG,
Sovos specializes in tax compliance and business-to-government reporting software.,Sovos,0,5,ORG,
Montrose Environmental Group is an environmental services provider offering measurement and analytical services.,Montrose Environmental Group,0,28,ORG,
Arcline Investment Management provides investment advisory services.,Arcline Investment Management,0,29,ORG,
Local Business Advertising,Local Business Advertising,0,26,ORG,
Enghouse Systems Limited is a leading global provider of enterprise software solutions serving a variety of distinct vertical markets.,Enghouse Systems Limited,0,24,ORG,
"Epredia is a biotechnology company that provides labeling, tracking, pathology, cancer diagnostics and tissue diagnostics services.",Epredia,0,7,ORG,
"Polygon is a global provider of property damage restoration, temporary humidity control and property performance services.",Polygon,0,7,ORG,
BrightChamps is a learning education service provider company.,BrightChamps,0,12,ORG,
"Wesco is a procurement specialists, helping customers lower supply chain costs and raise the efficiency of entire operations through a",Wesco,0,5,PERSON,
"Taft work as one team, driven and committed to helping you succeed",one,13,16,CARDINAL,
Radiant Financial Planning offers financial planning tax planning employee benefits and business consulting.,Radiant Financial Planning,0,26,ORG,
QuEST Defense is a global engineering services company.,Defense,6,13,ORG,
Mitratech is a provider of enterprise legal management solutions for corporate legal departments.,Mitratech,0,9,ORG,
"Second largest Canadian telecommunications company. Provides wireless phone service, high speed Internet, IPTV, home phone, long distance,",Second,0,6,ORDINAL,
"Second largest Canadian telecommunications company. Provides wireless phone service, high speed Internet, IPTV, home phone, long distance,",Canadian,15,23,NORP,
eBay is an online marketplace that connects a global network of buyers and sellers.,eBay,0,4,ORG,
Praecipio Consulting is an IT and business process consulting firm focused on the Atlassian product suite.,Praecipio Consulting,0,20,ORG,
Praecipio Consulting is an IT and business process consulting firm focused on the Atlassian product suite.,Atlassian,82,91,NORP,
"Xebia is specialist op het gebied van Agile, Test Automation, Continuous Delivery, Architecture en Modern Software Development",Xebia,0,5,GPE,
"Xebia is specialist op het gebied van Agile, Test Automation, Continuous Delivery, Architecture en Modern Software Development",gebied van Agile,27,43,PRODUCT,
"Xebia is specialist op het gebied van Agile, Test Automation, Continuous Delivery, Architecture en Modern Software Development",Test Automation,45,60,ORG,
"Xebia is specialist op het gebied van Agile, Test Automation, Continuous Delivery, Architecture en Modern Software Development",Continuous Delivery,62,81,PERSON,
Huspy is a proptech company that simplifies the home financing process.,Huspy,0,5,ORG,
"Alphawave IP is a semiconductor IP company focused on providing DSP based, multi-standard connectivity Silicon IP solutions.",IP,32,34,ORG,
"Alphawave IP is a semiconductor IP company focused on providing DSP based, multi-standard connectivity Silicon IP solutions.",DSP,64,67,ORG,
"Alphawave IP is a semiconductor IP company focused on providing DSP based, multi-standard connectivity Silicon IP solutions.",Silicon IP,103,113,ORG,
Truist is the sixth-largest commercial bank in the U.S.,Truist,0,6,ORG,
Truist is the sixth-largest commercial bank in the U.S.,sixth,14,19,ORDINAL,
Truist is the sixth-largest commercial bank in the U.S.,U.S.,51,55,GPE,
"BnkToTheFuture is an online platform that facilitates investments in FinTech, blockchain, and bitcoin companies.",FinTech,69,76,ORG,
Grupo México is a corporation in Mexico and the third largest copper producer in the world through ASARCO.,Mexico,33,39,GPE,
Grupo México is a corporation in Mexico and the third largest copper producer in the world through ASARCO.,third,48,53,ORDINAL,
"Highland Bank is a privately-held, business-focused bank, working directly with key decision-makers from start to finish.",Highland Bank,0,13,ORG,
Stranger &amp; Sons provides food and beverage services in India.,Stranger &,0,10,ORG,
Stranger &amp; Sons provides food and beverage services in India.,Sons,15,19,ORG,
Stranger &amp; Sons provides food and beverage services in India.,India,59,64,GPE,
"Linnworks connects, manages and automates commerce operations ensuring your business systems are seamlessly connected.",Linnworks,0,9,ORG,
"Brandfolder is a digital asset management (DAM) platform for storing, distributing, and manipulating brand assets.",DAM,43,46,ORG,
"All Things Office Technology - Copiers/Printers, Managed IT Services, Phone Solutions, Document Automation",Things Office Technology - Copiers/Printers,4,47,ORG,
Balchem provides state-of-the-art solutions and the finest quality products for a range of industries worldwide.,Balchem,0,7,ORG,
Ampersand is a middle market private equity firm focused on investments in two core sectors: Healthcare and Industrial.,Ampersand,0,9,GPE,
Ampersand is a middle market private equity firm focused on investments in two core sectors: Healthcare and Industrial.,two,75,78,CARDINAL,
Ampersand is a middle market private equity firm focused on investments in two core sectors: Healthcare and Industrial.,Healthcare and Industrial,93,118,ORG,
Fortis Solutions Group is a printing company providing label printing services.,Fortis Solutions Group,0,22,ORG,
"Fishbowl Inventory is an inventory management system enabling SMEs to track product manufacturing, movement, location and sales.",Fishbowl Inventory,0,18,ORG,
Instacart is an online grocery platform that offers same-day delivery and pickup services for retailers and consumers.,Instacart,0,9,ORG,
Instacart is an online grocery platform that offers same-day delivery and pickup services for retailers and consumers.,same-day,52,60,DATE,
Building the best place to buy and sell things in the Middle East.,the Middle East,50,65,LOC,
"LevelField is a financial services company that offers traditional banking, securities, and digital assets services.",LevelField,0,10,ORG,
Adani Power is committed to ensuring the nation's energy security with thermal and solar power plants across India.,Adani Power,0,11,ORG,
Adani Power is committed to ensuring the nation's energy security with thermal and solar power plants across India.,India,109,114,GPE,
"Vista Equity Partners is an investment firm that seeks to invest in enterprise software, data, and technology-enabled companies.",Vista Equity Partners,0,21,ORG,
Open English is an educational technology company focused on English language learning for the Latin American and U.S. Hispanic markets.,English,5,12,LANGUAGE,
Open English is an educational technology company focused on English language learning for the Latin American and U.S. Hispanic markets.,English,61,68,LANGUAGE,
Open English is an educational technology company focused on English language learning for the Latin American and U.S. Hispanic markets.,Latin American,95,109,NORP,
Open English is an educational technology company focused on English language learning for the Latin American and U.S. Hispanic markets.,U.S.,114,118,GPE,
Open English is an educational technology company focused on English language learning for the Latin American and U.S. Hispanic markets.,Hispanic,119,127,NORP,
"Omega Systems is an IT Consulting company that provides cloud solutions, cybersecurity, and managed Services.",Omega Systems,0,13,ORG,
"Omega Systems is an IT Consulting company that provides cloud solutions, cybersecurity, and managed Services.",Services,100,108,ORG,
International Chemical Investors S.E. is a chemicals company.,International Chemical Investors S.E.,0,37,ORG,
Southeast Building Supply Interests is a local pro-dealer in lumber and building supplies.,Southeast Building Supply Interests,0,35,ORG,
Apollo Global Management is a global asset management firm that specializes in credit-oriented capital and real estate markets.,Apollo Global Management,0,24,ORG,
"An industry leader, Crain Communications Inc is one of the largest privately owned business publishers in the U.S., with more than 27",Crain Communications Inc,20,44,ORG,
"An industry leader, Crain Communications Inc is one of the largest privately owned business publishers in the U.S., with more than 27",U.S.,110,114,GPE,
"An industry leader, Crain Communications Inc is one of the largest privately owned business publishers in the U.S., with more than 27",more than 27,121,133,CARDINAL,
"FE International provides M&amp;A advisory services for mid-market SaaS, e-commerce and content businesses.",FE International,0,16,ORG,
Genesis Capital has been supporting the development of small and medium-sized enterprises,Genesis Capital,0,15,ORG,
"First Commonwealth provides a full range of commercial banking, consumer banking, mortgage, wealth management etc.",First Commonwealth,0,18,ORG,
Fortis Solutions Group is a printing company providing label printing services.,Fortis Solutions Group,0,22,ORG,
KLH Capital is a private equity firm serving lower middle-market businesses and entrepreneurs.,KLH Capital,0,11,ORG,
Nova Labs is the pioneer of decentralized wireless communications and founder of the core technologies.,Nova Labs,0,9,PERSON,
Pudat Technology (PDT) is the manufacturer of equipment for the semiconductor and solar cell industries.,Pudat Technology,0,16,ORG,
JFE Shoji America is a supplier of semi-finished steel products to the USA.,JFE Shoji America,0,17,ORG,
JFE Shoji America is a supplier of semi-finished steel products to the USA.,USA,71,74,GPE,
Aonic Group is a video gaming family consisting of development studios as well as gaming-related technology and service providers.,Aonic Group,0,11,ORG,
"3 STEP Sports owns and manages youth sports clubs, operates youth sporting events and camps, and sells related apparel.",3,0,1,CARDINAL,
"3 STEP Sports owns and manages youth sports clubs, operates youth sporting events and camps, and sells related apparel.",STEP Sports,2,13,ORG,
"Bain Capital is a global alternative investment firm specializes in private equity, venture capital, and credit products.",Bain Capital,0,12,ORG,
"Amazon is an e-commerce website for consumers, sellers, and content creators.",Amazon,0,6,ORG,
"Sweco AB (publ) provides consulting services in engineering, environmental technology, and architecture fields worldwide.",Sweco AB,0,8,ORG,
"OTP Bank Plc. provides commercial banking services. The Bank has operations in Hungary, Bulgaria, Slovakia, Romania, Croatia, Serbia,",OTP Bank Plc,0,12,ORG,
"OTP Bank Plc. provides commercial banking services. The Bank has operations in Hungary, Bulgaria, Slovakia, Romania, Croatia, Serbia,",Bank,56,60,ORG,
"OTP Bank Plc. provides commercial banking services. The Bank has operations in Hungary, Bulgaria, Slovakia, Romania, Croatia, Serbia,",Hungary,79,86,GPE,
"OTP Bank Plc. provides commercial banking services. The Bank has operations in Hungary, Bulgaria, Slovakia, Romania, Croatia, Serbia,",Bulgaria,88,96,GPE,
"OTP Bank Plc. provides commercial banking services. The Bank has operations in Hungary, Bulgaria, Slovakia, Romania, Croatia, Serbia,",Slovakia,98,106,GPE,
"OTP Bank Plc. provides commercial banking services. The Bank has operations in Hungary, Bulgaria, Slovakia, Romania, Croatia, Serbia,",Romania,108,115,GPE,
"OTP Bank Plc. provides commercial banking services. The Bank has operations in Hungary, Bulgaria, Slovakia, Romania, Croatia, Serbia,",Croatia,117,124,GPE,
