Transaction Name,Organization Name,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Organization Description,Organization Industry,Diversity Spotlight (US Only),Organization Website,Organization Location,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Rounds)
Series D - Cymulate,Cymulate,Series D,"$70,000,000.0",2022-09-06,Late Stage Venture,"$430,000,000.0",Yes,Cymulate is a breach and attack simulation platform that helps organizations verify their security posture.,"Computer, Cyber Security, Information Services, Information Technology, SaaS",,www.cymulate.com,"Tel Aviv, Tel Aviv, Israel, Asia",$10M to $50M,"$141,000,000.0",Late Stage Venture,5,One Peak Partners,"Dell Technologies Capital, One Peak Partners, Susquehanna Growth Equity, Vertex Growth Fund, Vertex Ventures Israel",5,,11
Series D - Taranis,Taranis,Series D,"$40,000,000.0",2022-09-07,Late Stage Venture,,Yes,Taranis is an agtech company that develops AI-driven insight technology for leaf-level precision.,"Agriculture, AgTech, Artificial Intelligence, Farming",,taranis.ag,"Westfield, Indiana, United States, North America",$10M to $50M,"$99,550,000.0",Late Stage Venture,7,Inven Capital,"Cavallo Ventures, Eyal Gura, Farglory Group, Finistere Ventures, Hitachi Ventures, iAngels, Inven Capital, K3 Ventures, La Maison Partners, Micron Ventures, OurCrowd, Presidio Ventures, Seraphim Space, UMC Capital, Vertex Growth Fund, Vertex Ventures Israel, Viola Ventures",17,,12
Series E - Tamara,Tamara,Series E,"$100,000,000.0",2022-08-22,Late Stage Venture,,Yes,"Tamara offers a buy now, pay later platform that enables customers to pay in installments.","E-Commerce, FinTech, Payments, Retail, Shopping",,tamara.com,"Riyadh, Ar Riyad, Saudi Arabia, Asia",,"$215,600,000.0",Late Stage Venture,5,"Bitcoin Crypto World, Sanabil","Bitcoin Crypto World, Sanabil",2,,13
Private Equity Round - Skyroot Aerospace,Skyroot Aerospace,Private Equity,"$50,458,872.36000001",2022-09-02,Private Equity,,Yes,Skyroot Aerospace is an aerospace manufacturer and launch service provider developing launch vehicles for cost-effective access to space.,"Aerospace, Commercial, Space Travel, Transportation",,skyroot.in,"Hyderabad, Andhra Pradesh, India, Asia",,"$67,612,150.0",Private Equity,5,Waverly,"LNM India Internet Ventures, Waverly",2,,14
Seed Round - Pezesha,Pezesha,Seed,"$6,000,000.0",2022-08-30,Seed,,Yes,"Pezesha is a digital financial marketplace that connects SMBs to working capital, float financing, and LPO financing.","Finance, Financial Services, FinTech, Marketplace",,pezesha.com,"Nairobi, Nairobi Area, Kenya, Africa",,"$12,680,000.0",Seed,8,Women's World Banking,"cFund, Input Output Global, Talanton, Verdant Capital, Verdant Frontiers, Women's World Banking",6,,15
Series C - Docquity,Docquity,Series C,"$44,000,000.0",2022-09-05,Late Stage Venture,,Yes,Docquity develops a health technology platform that provides access to a network of medical experts and content from industry pioneers.,"Education, Health Care, Information Technology, Medical, mHealth",,www.docquity.com,"Singapore, Central Region, Singapore, Asia",,"$57,700,000.0",Late Stage Venture,4,ITOCHU Corporation,"Alkemi Venture Partners, Global Brain Corporation, iGlobe Partners, Infocom, ITOCHU Corporation, KDV Capital",6,,16
Series A - Credix,Credix,Series A,"$11,433,558.600000001",2022-09-06,Early Stage Venture,,Yes,Credit investing democratized,"Financial Services, FinTech",,credix.finance,"Antwerp, Antwerpen, Belgium, Europe",,"$14,139,637.0",Early Stage Venture,2,"Motive Partners, ParaFi Capital","Abra, Circle Ventures, Claure Group, Fuse Capital, MGG Investment Group, Motive Partners, ParaFi Capital, Ricardo Marino, Valor Capital Group, Victory Park Capital",10,,17
Venture Round - MedGenome,MedGenome,Venture - Series Unknown,"$50,000,000.0",2022-08-30,,,Yes,MedGenome develops a genomics-based diagnostics and research solution for healthcare providers to understand the genetic basis of diseases.,"Biotechnology, Genetics, Health Care, Health Diagnostics, Medical",,www.medgenome.com,"Bangalore, Karnataka, India, Asia",$10M to $50M,"$185,501,306.0",,8,Novo Holdings,"LeapFrog Investments, Novo Holdings, Sofina",3,,18
Series D - Alma,Alma,Series D,"$130,000,000.0",2022-08-23,Late Stage Venture,"$670,000,000.0",Yes,Alma is a membership-based network for mental health care providers.,"Health Care, Medical, Wellness",,helloalma.com,"New York, New York, United States, North America",,"$220,500,000.0",Late Stage Venture,5,Thoma Bravo,"Cigna Ventures, Insight Partners, Optum Ventures, Primary Venture Partners, Sound Ventures, Thoma Bravo, Tusk Venture Partners",7,,19
Funding Round - 1mg,1mg,Funding Round,"$40,000,000.0",2022-09-06,,"$1,220,000,000.0",Yes,1mg is an online pharmacy network platform and generic medicine engine.,"Delivery, E-Commerce, Health Care, Internet, Medical, Pharmaceutical",,www.1mg.com/,"Gurgaon, Haryana, India, Asia",$10M to $50M,"$230,800,209.0",M&amp;A,16,Tata Digital,"HBM Healthcare Investments AG, KWE Beteiligungen, MAF Mauritius, MPOF Mauritius, Rubal Jain, Tata Digital, Vardaan Sharma",7,,20
Venture Round - SkyBridge Capital,SkyBridge Capital,Venture - Series Unknown,,2022-09-09,,,Yes,SkyBridge Capital is a global alternative investment firm.,"Hedge Funds, Venture Capital, Wealth Management",,www.skybridgecapital.com/,"New York, New York, United States, North America",$1B to $10B,,,1,FTX Ventures,FTX Ventures,1,,21
Seed Round - Suite42,Suite42,Seed,"$4,300,000.0",2022-09-06,Seed,,Yes,"Suite42 provides manufacturing products across food staples, food processing, and FMCG industries.",Food and Beverage,,www.suite42.in/,"Bengaluru, Karnataka, India, Asia",,"$4,300,000.0",Seed,1,"Omnivore, Orios Venture Partners","All In Capital, Omnivore, Orios Venture Partners, PointOne Capital, Sujeet Kumar, Titan Capital",6,,22
Series B - Latana Brand Tracking,Latana Brand Tracking,Series B,"$35,979,752.52",2022-09-08,Early Stage Venture,,Yes,Latana is a brand tracking tool that uses advanced data science to ensure reliable and accurate brand insights.,"Analytics, Brand Marketing, SaaS",,www.latana.com/,"Berlin, Berlin, Germany, Europe",,"$45,171,133.0",Early Stage Venture,4,Oxx,"Balderton Capital, Kreos Capital, Oxx",3,,23
Series B - Planted Foods,Planted Foods,Series B,"$72,783,662.0",2022-09-01,Early Stage Venture,,Yes,Planted is a food processing company that specializes in plant-based meals.,"Food and Beverage, Food Processing, Organic Food, Personal Health",,www.eatplanted.com,"Zürich, Zurich, Switzerland, Europe",,"$125,069,758.0",Early Stage Venture,16,L Catterton,"ACE &amp; Company, Be8 Ventures, ETH Zurich Foundation, Gullspång Re:food, L Catterton, Movendo Capital, TEV Ventures, Vorwerk Ventures, Yann Sommer",9,,24
Series E - SeatGeek,SeatGeek,Series E,"$238,000,000.0",2022-08-31,Late Stage Venture,"$1,000,000,000.0",Yes,SeatGeek operates a mobile-focused ticket platform and search engine that lets fans buy and sell tickets for events.,"Ediscovery, Events, Search Engine, Sports, Ticketing",,seatgeek.com,"New York, New York, United States, North America",$10M to $50M,"$400,100,000.0",Late Stage Venture,11,Accel,"Accel, Arctos Sports Partners, Ryan Smith, Wellington Management",4,,25
Series D - CleverTap,CleverTap,Series D,"$105,000,000.0",2022-08-09,Late Stage Venture,"$670,000,000.0",Yes,"CleverTap helps digital brands increase user retention and lifetime value with the help of data, personalization, deep-tech, and automation","Analytics, Marketing Automation, Mobile, Real Time, SaaS",,clevertap.com,"Mountain View, California, United States, North America",,"$181,600,000.0",Late Stage Venture,6,Caisse de Depot et Placement du Quebec,"Caisse de Depot et Placement du Quebec, IIFL Asset Management, Recruit Holdings, Sequoia Capital India, Tiger Global Management",5,,26
Series C - Landing,Landing,Series C,"$125,000,000.0",2022-08-25,Late Stage Venture,"$350,000,000.0",Yes,Landing is a membership-based network that offers a subscription model for the apartment rental experience.,"Real Estate, Rental, Rental Property, Residential",,www.hellolanding.com,"Birmingham, Alabama, United States, North America",$10M to $50M,"$347,750,000.0",Late Stage Venture,8,Delta-v Capital,"Delta-v Capital, Foundry Group, Greycroft",3,,27
Series A - Photys Therapeutics,Photys Therapeutics,Series A,"$75,000,000.0",2022-09-08,Early Stage Venture,,Yes,Photys Therapeutics’ proprietary bifunctional small molecules platform unlocks fine-tuned control of protein modifications.,Biotechnology,,www.photys.com/,"Cambridge, Massachusetts, United States, North America",,"$75,000,000.0",Early Stage Venture,1,MPM Capital,"8VC, Arkin Bio Ventures, Eli Lilly &amp; Company Foundation, Heritage Medical Systems, Longwood Fund, Mass General Brigham Ventures, MPM Capital, MRL Ventures Fund, Omega Funds",9,,28
Seed Round - Spice AI,Spice AI,Seed,"$13,500,000.0",2022-09-07,Seed,,Yes,Spice AI is creating technology to make artificial intelligence and machine learning more accessible to developers.,"Artificial Intelligence, Blockchain, Cloud Data Services, Developer Platform, Machine Learning, Software",,spice.ai,"Seattle, Washington, United States, North America",,"$14,555,000.0",Seed,2,Madrona Venture Group,"Alumni Ventures, Asymmetric, Basis Set Ventures, Blackbird Ventures, Cardinia Ventures, Elysium Venture Capital, Founders' Co-op, Geek Ventures, IEX Group, Joe McCann, Madrona Venture Group, Picus Capital, Protocol Labs, Shane Mac, Thomas Dohmke",15,,29
Series B - Morse Micro,Morse Micro,Series B,"$93,772,432.60000001",2022-09-06,Early Stage Venture,,Yes,Morse Micro is a semiconductor startup developing Wi-Fi HaLow / 802.11ah chips for the Internet of Things (IoT) market.,"Internet of Things, Semiconductor, Wireless",,www.morsemicro.com,"Surry Hills, New South Wales, Australia, Oceania",,"$128,532,230.0",Early Stage Venture,7,MegaChips,"Blackbird Ventures, Clean Energy Finance Corporation, Lucy Turnbull, Main Sequence Ventures, Malcolm, MegaChips, Skip Capital, SpringCapital Investment, Uniseed Ventures",9,,30
Series A - Aktis Oncology,Aktis Oncology,Series A,"$84,000,000.0",2022-08-25,Early Stage Venture,,Yes,Aktis Oncology is a biotechnology company discovering and developing a novel class of targeted radiopharmaceuticals.,"Biotechnology, Health Care, Life Science",,www.aktisoncology.com/,"Boston, Massachusetts, United States, North America",,"$156,000,000.0",Early Stage Venture,2,,"ArrowMark Partners, Bristol Myers Squibb, Cowen Healthcare Investments, EcoR1 Capital, Merck, Mirae Asset Venture Investment, MPM Capital, MRL Ventures Fund, Novartis, NS Investment, Octagon Capital Advisors, Pappas Capital, TCG Crossover, Vida Ventures",14,,31
Series A - Powerplay,Powerplay,Series A,"$7,116,829.540800001",2022-08-30,Early Stage Venture,"$67,988,009.16000001",Yes,Mobile-based operating system to manage construction &amp; architectural projects,Construction,,www.getpowerplay.in/,"Bengaluru, Karnataka, India, Asia",,"$12,333,212.0",Early Stage Venture,3,"Accel India, Surge","Accel India, India Quotient, Kunal Bahl, Rohit Bansal, Surge",5,,32
Series D - Celonis,Celonis,Series D,"$400,000,000.0",2022-08-23,Late Stage Venture,,Yes,Celonis provides an execution management system that helps companies in running their business processes.,"Analytics, Big Data, Business Intelligence, SaaS",,www.celonis.com,"Munich, Bayern, Germany, Europe",,"$2,367,500,000.0",Late Stage Venture,6,Qatar Investment Authority,"83North, Accel, Activant Capital, Alta Park Capital, Arena Holdings, Common Fund, Durable Capital Partners, Franklin Templeton, Neuberger Berman Group, Qatar Investment Authority, Sator Grove Holdings, T. Rowe Price, TCV",13,,33
Series B - Digital Diagnostics,Digital Diagnostics,Series B,"$75,000,000.0",2022-08-23,Early Stage Venture,,Yes,"Digital Diagnostics is an AI diagnostics company that transforms the quality, accessibility, and affordability of healthcare.","Artificial Intelligence, Health Care, Health Diagnostics, Machine Learning, Medical Device",,digitaldiagnostics.com,"Coralville, Iowa, United States, North America",,"$173,398,472.0",Early Stage Venture,7,Kohlberg Kravis Roberts,"8VC, Cedar Pine, Edward-Elmhurst Health, Gundersen Health System, Kinderhook Industries, Kohlberg Kravis Roberts, Optum Ventures, OSF Ventures, University of Iowa",9,,34
Seed Round - Duplo,Duplo,Seed,"$4,300,000.0",2022-08-31,Seed,,Yes,Duplo is modernizing B2B payments in Africa,"B2B, Finance, FinTech, Payments",,www.tryduplo.com/,,,"$5,600,000.0",Seed,2,Oui Capital,"Basecamp Fund, Commerce Ventures, Liquid 2 Ventures, Oui Capital, Soma Capital, Tribe Capital, Y Combinator",7,,35
Seed Round - FinAGG,FinAGG,Seed,"$3,000,000.0",2022-09-06,Seed,,Yes,"FinAGG is a digital credit card for suppliers, distributors and retailers that lubricates the flow of goods &amp; payments in the Supply Chain.",,,finagg.in/,"Noida, Uttar Pradesh, India, Asia",,"$3,000,000.0",Seed,1,BlinC Invest,"BlinC Invest, Prime Venture Partners",2,,36
Series B - Zilliz,Zilliz,Series B,"$60,000,000.0",2022-08-24,Early Stage Venture,,Yes,Vector Database for Production-ready AI,"Analytics, Artificial Intelligence, Database, Machine Learning, Open Source, Software",,zilliz.com/,"San Francisco, California, United States, North America",Less than $1M,"$113,000,000.0",Early Stage Venture,4,Prosperity7 Ventures,"5Y Capital, Hillhouse Capital Group, Pavilion Capital, Prosperity7 Ventures, Yunqi Partners",5,,37
Series C - DriveNets,DriveNets,Series C,"$262,000,000.0",2022-08-17,Late Stage Venture,"$2,238,000,000.0",Yes,DriveNets is a networking company that provides software-based routing solutions.,"Cloud Data Services, Cloud Infrastructure, Network Hardware, Software",,www.drivenets.com/,"Ra'anana, HaMerkaz, Israel, Asia",,"$587,000,000.0",Late Stage Venture,4,D2 Investments,"Atreides Management, Bessemer Venture Partners, D1 Capital Partners, D2 Investments, Harel Insurance Investments and Financial Services, Ischyros New York, Pitango Venture Capital",7,,38
Series D - Servify,Servify,Series D,"$65,000,000.0",2022-08-23,Late Stage Venture,,Yes,Servify is a self-learning platform that provides device management services and warranty solutions.,"Consumer Applications, Consumer Electronics, Consumer Software, Enterprise Software",,servify.in,"Mumbai, Maharashtra, India, Asia",,"$114,400,000.0",Late Stage Venture,7,Singularity Growth Opportunities Fund,"AmTrust Financial Services, BEENEXT, Blume Ventures, DMI AIF Sparkle Fund, Iron Pillar, Pidilite Industries Limited, Singularity Growth Opportunities Fund, Square",8,,39
Series C - TruKKer,TruKKer,Series C,"$100,000,000.0",2022-09-07,Late Stage Venture,,Yes,TruKKer is a technology-enabled truck aggregator that operates multiple truck types for multiple end markets.,"Freight Service, Logistics, Supply Chain Management, Transportation",,www.trukker.com,"Abu Dhabi, Abu Dhabi, United Arab Emirates, Asia",$1M to $10M,"$370,350,000.0",Late Stage Venture,16,Investcorp,"Investcorp, March Holding, Mubadala, Reliance Egypt, Riyadh Valley Company",5,,40
Series A - Petfolk,Petfolk,Series A,"$40,000,000.0",2022-08-24,Early Stage Venture,,Yes,"Petfolk is a veterinary healthcare company that provides a connected community for today's vets, pets, and pet owners.","Health Care, Medical, Pet, Veterinary",,petfolk.com,"Charlotte, North Carolina, United States, North America",,"$40,000,000.0",Early Stage Venture,1,"Michael Wystrach, White Star Capital","Cameron Duddy, Danica Patrick, Dierks Bentley, Erik Jones, Jimmie Johnson, Mark Wystrach, Michael Wystrach, Miranda Lambert, TriplePoint Capital, White Star Capital",10,,41
Series A - Albedo,Albedo,Series A,"$48,000,000.0",2022-09-07,Early Stage Venture,,Yes,Albedo designs and operates satellites that capture imagery at a higher resolution.,"Big Data, Geospatial",,albedo.com,"Austin, Texas, United States, North America",,"$58,000,000.0",Early Stage Venture,3,"Breakthrough Energy Ventures, Shield Capital","Breakthrough Energy Ventures, C16 Ventures, Giant Steps Capital, Initialized Capital, Kevin Mahaffey, Liquid 2 Ventures, Republic capital, Shield Capital",8,,42
Seed Round - PsycApps,PsycApps,Seed,"$1,718,790.4500000002",2022-09-01,Seed,,Yes,Digital Mental Health Games,"Health Care, Health Diagnostics, mHealth, Online Games, Psychology, Serious Games, Wellness",,www.equoogame.com,"London, England, United Kingdom, Europe",Less than $1M,"$1,986,749.0",Seed,5,Morningside Ventures,Morningside Ventures,1,,43
Pre Seed Round - SnappRetail,SnappRetail,Pre-Seed,"$2,500,000.0",2022-09-06,Seed,,Yes,"SnappRetail is a complete retail operating platform that empowers traditional trade retailers in Pakistan, to grow their margin and revenue.","FinTech, Retail, Retail Technology",,www.snappretail.io/,"Karachi, Sindh, Pakistan, Asia",,"$2,680,000.0",Seed,2,Zayn Capital,"Antler, Century Oak Capital, Zayn Capital",3,,44
Series A - Lumachain,Lumachain,Series A,"$19,500,000.0",2022-08-24,Early Stage Venture,,Yes,"Lumachain is a supply chain platform designed for tracking the origin, condition, and location of items in the food supply chain.","Consumer Goods, Food and Beverage, Information Services, Logistics, Software, Supply Chain Management",,lumachain.io,"Sydney, New South Wales, Australia, Oceania",$1M to $10M,"$23,000,000.0",Early Stage Venture,2,Bessemer Venture Partners,"Bessemer Venture Partners, Main Sequence Ventures",2,,45
Series A - Bond Pet Foods,Bond Pet Foods,Series A,"$17,500,000.0",2022-09-07,Early Stage Venture,,Yes,"Bond Pet Foods makes pet food from real animal protein, without the animal by working with biotechnology.","Biotechnology, Health Care, Nutrition, Pet",Women Founded,www.bondpets.com/,"Boulder, Colorado, United States, North America",$1M to $10M,"$20,000,000.0",Early Stage Venture,4,Genoa Ventures,"ADM Ventures, Cavallo Ventures, Genoa Ventures, iSELECT FUND, Joan Jett, Lever VC, Lifely VC, Satori Capital, Sia Furler, Stage 1 Fund, Thia Ventures",11,,46
Seed Round - Revolving Games,Revolving Games,Seed,"$13,200,000.0",2022-09-09,Seed,,Yes,Revolving Games is a mobile game studio that creates and delivers Web3 experiences for gamers.,"Blockchain, Gamification, Gaming, MMO Games, PC Games",,revolvinggames.com,"San Francisco, California, United States, North America",,"$25,200,000.0",Seed,3,Pantera Capital,"Dan Houser, Dapper Labs, DWeb3 Capital, Kenetic, Pantera Capital, Permanens Capital, Polygon, Sarmayacar",8,,47
Series A - Neurofenix,Neurofenix,Series A,"$6,760,575.7700000005",2022-08-29,Early Stage Venture,,Yes,"Neurofenix is aiming to make rehabilitation more autonomous, enjoyable and accessible to stroke victims.","Automotive, Autonomous Vehicles, Health Care, Service Industry",,neurofenix.com/,"London, England, United Kingdom, Europe",,"$6,929,136.0",Early Stage Venture,5,AlbionVC,"AlbionVC, HTH, InHealth Ventures",3,,48
Series B - Jar,Jar,Series B,"$22,600,000.0",2022-08-18,Early Stage Venture,"$277,400,000.0",Yes,Jar is an investment tech startup that allows users to save money and invest in digital gold.,"Apps, Financial Services, FinTech",,myjar.app,"Bangalore, Karnataka, India, Asia",,"$111,669,690.0",Early Stage Venture,6,Tiger Global Management,"1finance, Adam Nash, Arkam Ventures, Capier Investments, Cloud Capital, Eximius Ventures, Folius Ventures, Force Ventures, LetsVenture, Panthera Capital Ventures, Prophetic Ventures, rocketship.vc, Tiger Global Management, WEH Ventures, Yes VC, Zachary Hargreaves",16,,49
Series A - Muck Rack,Muck Rack,Series A,"$180,000,000.0",2022-09-07,Early Stage Venture,,Yes,Muck Rack is a public relations management platform that enables organizations to connect with journalists to generate media coverage.,"Information Services, Journalism, Media and Entertainment, Public Relations, SaaS, Software",,muckrack.com,"Miami, Florida, United States, North America",$10M to $50M,"$180,000,000.0",Early Stage Venture,1,Susquehanna Growth Equity,Susquehanna Growth Equity,1,,50
Series C - Kasisto,Kasisto,Series C,"$15,500,000.0",2022-08-22,Late Stage Venture,,Yes,"Kasisto's enables financial institutions to service, engage, and acquire customers.","Artificial Intelligence, Computer, Financial Services, FinTech, Information Technology, Software",Women Founded,www.kasisto.com,"New York, New York, United States, North America",Less than $1M,"$81,450,000.0",Late Stage Venture,8,"FIS, Westpac","BankSouth, FIS, Westpac",3,,51
Seed Round - Luminovo,Luminovo,Seed,"$10,993,813.27",2022-08-18,Seed,,Yes,"Luminovo is a SaaS provider building the electronics operating system for EMS, OEMs, and distributors to accelerate technological progress.","Electronics, SaaS, Software",,www.luminovo.ai,"Munich, Bayern, Germany, Europe",,"$13,492,407.195",Seed,2,Chalfen Ventures,"Chalfen Ventures, Cherry Ventures, Khadjavi Capital Partners, La Famiglia, Tencent, Verve Ventures",6,,52
Series A - Otolith Labs,Otolith Labs,Series A,"$20,000,000.0",2022-09-07,Early Stage Venture,,Yes,First Therapeutic Device For The Treatment Of Vertigo.,"Consumer Electronics, Hardware, Medical, Medical Device, Military, Therapeutics",,www.otolithlabs.com/,"Washington, District of Columbia, United States, North America",$1M to $10M,"$25,735,000.0",Early Stage Venture,6,Morningside Venture Partners,Morningside Venture Partners,1,,53
Series A - Fair Square Medicare,Fair Square Medicare,Series A,"$15,000,000.0",2022-08-25,Early Stage Venture,,Yes,Fair Square Medicare provides a consumer-friendly way for seniors to buy health insurance.,"Elderly, Health Care, Health Insurance, Wellness",,fairsquaremedicare.com/,"San Francisco, California, United States, North America",,"$15,000,000.0",Early Stage Venture,2,Define Ventures,"Define Ventures, Slow Ventures, Y Combinator",3,,54
Series B - Incredible Health,Incredible Health,Series B,"$80,000,000.0",2022-08-17,Early Stage Venture,"$1,570,000,000.0",Yes,Incredible Health is a medical and health platform that connects health systems with nurses.,"Health Care, Hospital, Human Resources, Medical, Recruiting","Black / African American Founded, Black / African American Led, Women Founded, Women Led",www.IncredibleHealth.com,"San Francisco, California, United States, North America",$10M to $50M,"$97,275,000.0",Early Stage Venture,4,"Base10 Partners, Stardust Equity","444 Capital, Andre Iguodala, Andreessen Horowitz, Base10 Partners, Chano Fernandez, Kaiser Permanente, Obvious Ventures, Rethink Impact, Stardust Equity",9,,55
Series A - Highline Technologies,Highline Technologies,Series A,"$13,000,000.0",2022-08-22,Early Stage Venture,,Yes,"A new, more effective bill-payment method that reduces credit risk and gives customers peace of mind.","Financial Services, FinTech, Payments",,highline.co/,"Dallas, North Carolina, United States, North America",,"$17,500,000.0",Early Stage Venture,2,"Costanoa Ventures, Foundation Capital, Jump Capital","Costanoa Ventures, Foundation Capital, Jump Capital",3,,56
Series A - Graas,Graas,Series A,"$40,000,000.0",2022-08-17,Early Stage Venture,,Yes,Graas is a provider of e-commerce solutions.,E-Commerce,,www.graas.ai/,"Singapore, Central Region, Singapore, Asia",,"$40,000,000.0",Early Stage Venture,1,"AJ Capital, Integra Partners, Kejora Capital, Performa Investimentos, Yuj Ventures","AJ Capital, Integra Partners, Kejora Capital, Performa Investimentos, Yuj Ventures",5,,57
