Hub Name,Number of Organizations,Number of People,Number of Events,CB Rank (Hub),Description,Last Updated,Hub Type,Parent Organization,Disverity Spotlight (US Only),Industries,Industry Groups,Location,Location Type,Closed Year,Founded Year,Funding Status,Investment Stage,Investor Type,Number of Employees,Estimated Revenue Range,Number of Investors,Number of Lead Investors,Average Founded Date,Number of Non-Profit Companies,Number of For-Profit Companies,Percentage Non-Profit,Percentage Public Organizations,Number of IPOs,Average IPO Date,Percentage Delisted,Top Funding Types,Number of Funding Rounds,Median Number of Funding Rounds,Total Funding Amount,Median Total Funding Amount,Total Equity Funding Amount,Average Last Funding Date,Total Amount Raised in IPO,Median Amount Raised in IPO,Total IPO Valuation,Median IPO Valuation,Percentage Acquired,Number of Acquired Organizations,Number of Acquisitions,Total Acquired Price,Median Acquired Price,Top Investor Types,Number of Portfolio Companies,Number of Investments,Median Number of Investments,Number of Lead Investors.1,Median Number of Lead Investors,Number of Exits,Median Number of Exits,Number of Funds,Total Fund Raised,Number of Founders,Number of Founder Alumni,Number of Alumni,Average Rank,Average Trend Score (7D),Average Trend Score (30D),Average Trend Score (90D)
United States Companies With Less Than $50M in Revenue (Top 10K),"9,786",960,"6,015",11,"The top 10,000 companies and startups in United States with less than $50m in revenue, by Crunchbase rank.",2022-09-15 11:54:00,"Active, Company, Location, Revenue Range",,,,,"United States, North America",Country,,,,,,,$10M to $50M,"81,335","22,502",2011-12-08,29,"9,467",0%,9%,936,2015-06-02,0%,"Venture - Series Unknown,&nbsp;Series A,&nbsp;Series B,&nbsp;Seed,&nbsp;Series C","44,045",4,"$893,980,397,433.0","$30,945,271.0","$740,543,555,691.0",2011-12-08,"$80,812,519,604.0","$89,416,661.0","$400,111,912,956.0","$459,096,666.0",16%,"1,651","4,583","$236,341,475,135.0","$238,500,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Incubator","39,361","58,150",4,"15,558",6,"9,070",7,"1,067","$342,238,439,028.0","21,188","1,258","2,532","16,214.6",0.97,0.97,1.53
Companies With Less Than $1B in Revenue (Top 10K),"9,730",985,"10,000",12,"The top 10,000 companies and startups with less than $1b in revenue, by Crunchbase rank.",2022-09-15 12:15:00,"Active, Company, Revenue Range",,,,,,,,,,,,,$500M to $1B,"90,559","27,356",2010-02-14,29,"9,425",0%,17%,"1,876",2014-12-02,1%,"Venture - Series Unknown,&nbsp;Series B,&nbsp;Series A,&nbsp;Series C,&nbsp;Post-IPO Equity","47,288",4,"$1,928,350,866,972.0","$59,220,014.0","$1,416,899,844,016.0",2010-02-14,"$281,788,145,089.0","$131,345,340.0","$1,961,887,990,928.0","$850,842,184.0",17%,"1,889","12,133","$875,861,136,859.0","$450,000,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Corporate Venture Capital","47,757","66,784",2,"18,986",2,"9,686",2,"1,324","$905,058,966,776.0","21,654","1,861","3,724","8,758.48",1.27,1.27,1.99
Companies With Less Than $500M in Revenue (Top 10K),"9,933",995,"10,000",13,"The top 10,000 companies and startups with less than $500m in revenue, by Crunchbase rank.",2022-09-15 11:08:00,"Active, Company, Revenue Range",,,,,,,,,,,,,$100M to $500M,"91,394","27,541",2010-09-26,31,"9,618",0%,15%,"1,743",2015-06-02,1%,"Venture - Series Unknown,&nbsp;Series B,&nbsp;Series A,&nbsp;Series C,&nbsp;Post-IPO Equity","47,910",4,"$1,665,680,487,427.0","$54,933,476.0","$1,250,936,240,358.0",2010-09-26,"$227,291,477,586.0","$124,113,164.0","$1,501,038,838,624.0","$761,028,333.0",17%,"1,866","10,468","$752,930,991,414.0","$400,000,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Corporate Venture Capital","48,182","67,699",2,"18,668",2,"9,703",2,"1,279","$713,063,141,853.0","22,163","1,860","3,720","9,300.84",1.25,1.25,1.95
Manufacturing Companies With More Than $1M in Revenue (Top 10K),"9,482",985,84,14,"The top 10,000 companies and startups in the manufacturing space with more than $1m in revenue, by Crunchbase rank.",2022-09-15 10:05:00,"Active, Industry, Company, Revenue Range",,,Manufacturing,Manufacturing,,,,,,,,,$1M to $10M,"10,783","4,008",1981-11-17,11,"9,309",0%,11%,"1,257",2003-10-26,1%,"Venture - Series Unknown,&nbsp;Grant,&nbsp;Private Equity,&nbsp;Seed,&nbsp;Debt Financing","10,531",2,"$463,753,586,853.0","$4,097,552.0","$226,931,512,040.0",1981-11-17,"$65,139,787,712.0","$113,668,456.0","$248,481,527,072.0","$724,262,203.0",14%,"1,561","7,789","$665,795,921,170.0","$451,000,000.0","Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Family Investment Office","2,600","3,110",2,"1,176",1,673,1,31,"$6,617,862,094.0","7,613",2,4,"181,124.9",1.01,1.01,1.78
Companies With Less Than $50M in Revenue (Top 10K),"9,830",987,"10,000",15,"The top 10,000 companies and startups with less than $50m in revenue, by Crunchbase rank.",2022-09-15 11:28:00,"Active, Company, Revenue Range",,,,,,,,,,,,,$10M to $50M,"86,966","25,865",2012-01-19,36,"9,489",0%,11%,"1,189",2016-01-16,0%,"Venture - Series Unknown,&nbsp;Series B,&nbsp;Series A,&nbsp;Series C,&nbsp;Seed","45,700",4,"$1,133,832,052,402.0","$40,600,452.0","$900,184,533,288.0",2012-01-19,"$102,031,023,912.0","$97,000,000.0","$503,913,491,836.0","$512,060,000.0",15%,"1,574","5,864","$267,068,988,174.0","$200,000,000.0","Venture Capital,&nbsp;Accelerator,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Incubator","40,762","58,634",3,"16,477",3,"8,136",3,"1,070","$318,321,033,225.0","22,062","1,258","2,534","10,998.9",1.19,1.19,1.85
Manufacturing Companies With Less Than $1B in Revenue (Top 10K),"9,788","1,002",90,16,"The top 10,000 companies and startups in the manufacturing space with less than $1b in revenue, by Crunchbase rank.",2022-09-15 11:09:00,"Active, Industry, Company, Revenue Range",,,Manufacturing,Manufacturing,,,,,,,,,$500M to $1B,"12,022","4,423",1987-04-30,10,"9,615",0%,8%,924,2006-11-13,1%,"Venture - Series Unknown,&nbsp;Grant,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Debt Financing","12,110",2,"$241,578,579,331.0","$2,855,085.0","$169,467,485,095.0",1987-04-30,"$41,119,146,805.0","$94,300,000.0","$191,011,681,958.0","$579,659,744.0",14%,"1,536","3,796","$322,497,572,272.0","$310,000,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Corporate Venture Capital,&nbsp;Family Investment Office",840,"1,018",1,388,1,171,1,24,"$5,473,565,000.0","8,156",0,0,"180,611.81",1.01,1.01,1.74
Manufacturing Companies With Less Than $500M in Revenue (Top 10K),"9,468",981,90,17,"The top 10,000 companies and startups in the manufacturing space with less than $500m in revenue, by Crunchbase rank.",2022-09-15 09:19:00,"Active, Industry, Company, Revenue Range",,,Manufacturing,Manufacturing,,,,,,,,,$100M to $500M,"11,759","4,325",1988-05-05,9,"9,305",0%,7%,773,2007-11-04,1%,"Venture - Series Unknown,&nbsp;Grant,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Debt Financing","11,878",2,"$164,986,505,605.0","$2,748,960.0","$120,448,497,667.0",1988-05-05,"$34,169,298,972.0","$83,700,000.0","$157,826,303,361.0","$468,541,254.0",13%,"1,437","2,758","$256,929,036,599.0","$276,250,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Corporate Venture Capital,&nbsp;Family Investment Office",696,849,1,306,1,142,1,24,"$5,473,565,000.0","7,929",0,0,"180,790.4",1.02,1.02,1.74
United States Companies With Fewer Than 100 Employees (Top 10K),"9,718",906,"6,253",18,"The top 10,000 companies and startups in United States with fewer than 100 employees, by Crunchbase rank.",2022-09-15 11:31:00,"Active, Company, Employee Range, Location",,,,,"United States, North America",Country,,,,,,,,"75,020","18,813",2014-12-25,23,"9,059",0%,5%,594,2015-11-01,0%,"Series A,&nbsp;Seed,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C","36,298",3,"$420,449,275,894.0","$18,139,265.0","$355,347,082,239.0",2014-12-25,"$36,438,453,816.0","$75,333,333.0","$126,427,169,063.0","$366,350,000.0",9%,951,"1,897","$84,752,687,999.0","$161,000,000.0","Venture Capital,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Private Equity Firm,&nbsp;Venture Debt","23,815","34,531",9,"8,069",8,"5,475",8,709,"$153,784,399,449.0","20,601",22,51,"15,356.06",1.15,1.15,1.91
Companies With Fewer Than 100 Employees (Top 10K),"9,664",916,"10,000",19,"The top 10,000 companies and startups with fewer than 100 employees, by Crunchbase rank.",2022-09-15 09:05:00,"Active, Company, Employee Range",,,,,,,,,,,,,,"81,683","21,676",2015-08-03,34,"8,962",0%,5%,575,2016-10-04,0%,"Series A,&nbsp;Seed,&nbsp;Series B,&nbsp;Venture - Series Unknown,&nbsp;Series C","36,690",3,"$498,397,580,309.0","$21,615,067.0","$417,268,572,903.0",2015-08-03,"$34,948,074,131.0","$84,000,000.0","$146,432,706,018.0","$413,250,000.0",8%,772,"2,137","$86,556,002,444.0","$130,000,000.0","Venture Capital,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Private Equity Firm,&nbsp;Venture Debt","26,317","37,747",6,"10,102",6,"4,811",5,817,"$137,395,015,684.0","21,254",8,12,"10,030.44",1.58,1.58,2.58
Manufacturing Companies With Less Than $50M in Revenue (Top 10K),"9,800",940,89,20,"The top 10,000 companies and startups in the manufacturing space with less than $50m in revenue, by Crunchbase rank.",2022-09-15 11:51:00,"Active, Industry, Company, Revenue Range",,,Manufacturing,Manufacturing,,,,,,,,,$10M to $50M,"10,736","3,886",1989-11-18,8,"9,624",0%,4%,488,2009-07-12,0%,"Venture - Series Unknown,&nbsp;Grant,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Debt Financing","11,001",2,"$109,000,861,221.0","$2,198,402.0","$88,275,263,841.0",1989-11-18,"$20,763,960,711.0","$69,999,937.0","$91,091,636,309.0","$390,411,806.0",10%,"1,076","1,395","$100,595,925,350.0","$166,012,608.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Corporate Venture Capital,&nbsp;Micro VC",527,659,1,220,1,102,1,18,"$2,698,764,985.0","7,405",0,0,"210,996.55",1.14,1.14,1.91
Companies With More Than 50 Employees (Top 10K),"9,733",987,"10,000",21,"The top 10,000 companies and startups with more than 50 employees, by Crunchbase rank.",2022-09-15 11:16:00,"Active, Company, Employee Range",,,,,,,,,,,,,,"88,589","28,349",2006-05-05,24,"9,476",0%,20%,"2,276",2011-09-26,1%,"Series B,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Series C,&nbsp;Post-IPO Equity","46,014",4,"$3,457,168,036,738.0","$87,326,575.0","$2,263,243,157,542.0",2006-05-05,"$497,767,219,429.0","$164,000,042.0","$3,304,041,285,225.0","$1,200,000,000.0",15%,"1,704","21,520","$1,347,040,736,976.0","$712,000,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Corporate Venture Capital,&nbsp;Accelerator","49,767","67,222",3,"22,561",2,"11,902",2,"1,352","$1,646,544,775,028.0","21,169","1,292","2,589","7,587.37",1.26,1.26,1.95
United States Companies With Less Than $10M in Revenue (Top 10K),"9,845",992,"5,263",22,"The top 10,000 companies and startups in United States with less than $10m in revenue, by Crunchbase rank.",2022-09-15 10:56:00,"Active, Company, Location, Revenue Range",,,,,"United States, North America",Country,,,,,,,$1M to $10M,"71,363","19,215",2013-01-16,28,"9,486",0%,6%,645,2014-10-24,0%,"Venture - Series Unknown,&nbsp;Series A,&nbsp;Seed,&nbsp;Series B,&nbsp;Series C","40,514",4,"$544,079,575,993.0","$18,073,794.0","$461,321,811,460.0",2013-01-16,"$31,041,262,973.0","$60,250,000.0","$147,880,681,821.0","$340,300,000.0",14%,"1,434","2,681","$102,395,085,131.0","$151,466,666.0","Venture Capital,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Private Equity Firm,&nbsp;Incubator","34,054","48,750",14,"12,413",10,"6,886",8,"1,024","$181,343,596,322.0","20,861","1,260","2,535","22,743.29",0.87,0.87,1.34
Southern US Companies With More Than $1M in Revenue (Top 10K),"9,565",966,"1,125",23,"The top 10,000 companies and startups in Southern US with more than $1m in revenue, by Crunchbase rank.",2022-09-15 11:41:00,"Active, Company, Location, Revenue Range",,,,,"Southern US, United States, North America",Regional Area,,,,,,,$1M to $10M,"17,533","6,302",2000-01-08,136,"8,981",1%,8%,891,2006-02-19,1%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Debt Financing,&nbsp;Grant","17,896",2,"$400,008,063,727.0","$4,689,541.0","$242,724,678,462.0",2000-01-08,"$115,355,334,474.0","$114,516,413.0","$307,582,145,207.0","$718,110,000.0",19%,"2,127","10,001","$946,680,107,356.0","$500,000,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Investment Bank","13,153","17,933",3,"6,086",3,"3,668",2,724,"$496,046,748,190.0","13,189",8,13,"105,000.12",0.71,0.71,1.18
United States Companies With Fewer Than 50 Employees (Top 10K),"9,977",993,"5,774",24,"The top 10,000 companies and startups in United States with fewer than 50 employees, by Crunchbase rank.",2022-09-15 10:16:00,"Active, Company, Employee Range, Location",,,,,"United States, North America",Country,,,,,,,,"69,022","16,778",2015-08-15,21,"9,184",0%,4%,467,2016-02-04,0%,"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Debt Financing","34,151",3,"$293,234,166,866.0","$11,579,352.0","$255,111,506,798.0",2015-08-15,"$23,019,238,065.0","$75,000,000.0","$83,702,914,716.0","$366,092,500.0",8%,847,"1,267","$30,983,489,786.0","$115,000,000.0","Venture Capital,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Private Equity Firm,&nbsp;Family Investment Office","24,966","35,992",24,"7,855",12,"5,247",8,715,"$129,893,936,747.0","20,609",23,52,"20,207.17",1.03,1.03,1.72
Manufacturing Companies With More Than 10 Employees (Top 10K),"9,978",983,125,25,"The top 10,000 companies and startups in the manufacturing space with more than 10 employees, by Crunchbase rank.",2022-09-15 12:27:00,"Active, Industry, Company, Employee Range",,,Manufacturing,Manufacturing,,,,,,,,,,"17,839","6,243",1987-04-28,8,"9,687",0%,17%,"1,974",2005-01-08,2%,"Venture - Series Unknown,&nbsp;Grant,&nbsp;Series A,&nbsp;Seed,&nbsp;Post-IPO Equity","15,410",1,"$573,117,128,231.0","$4,740,892.0","$306,886,783,304.0",1987-04-28,"$99,059,813,017.0","$102,000,000.0","$375,435,493,476.0","$590,159,744.0",18%,"2,328","10,996","$1,280,162,468,669.0","$512,380,941.0","Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Investment Bank","2,938","3,458",2,"1,279",1,721,1,29,"$5,789,699,305.0","9,770",3,4,"121,643.03",0.74,0.74,1.25
Companies With Fewer Than 50 Employees (Top 10K),"9,752",905,"10,000",26,"The top 10,000 companies and startups with fewer than 50 employees, by Crunchbase rank.",2022-09-15 11:19:00,"Active, Company, Employee Range",,,,,,,,,,,,,,"75,805","19,401",2016-02-17,34,"8,880",0%,5%,509,2016-09-27,0%,"Series A,&nbsp;Seed,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C","33,921",3,"$364,954,182,881.0","$14,966,829.0","$307,490,477,997.0",2016-02-17,"$27,400,604,503.0","$81,366,666.0","$113,699,604,107.0","$435,919,060.0",6%,631,"1,366","$27,545,280,420.0","$104,756,500.0","Venture Capital,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Private Equity Firm,&nbsp;Incubator","24,699","34,940",9,"8,897",8,"4,012",6,755,"$98,808,482,634.0","20,874",23,51,"13,177.08",1.45,1.45,2.39
United States Manufacturing Companies (Top 10K),"9,686",990,40,27,"The top 10,000 companies and startups in United States in the manufacturing space, by Crunchbase rank.",2022-09-15 11:30:00,"Active, Industry, Company, Location",,,Manufacturing,Manufacturing,"United States, North America",Country,,,,,,,,"10,159","3,697",1985-01-30,8,"9,229",0%,8%,953,2001-03-28,2%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Private Equity,&nbsp;Debt Financing","11,176",2,"$345,330,156,015.0","$1,953,245.0","$144,542,692,826.0",1985-01-30,"$75,249,021,804.0","$102,416,666.0","$295,302,331,157.0","$608,000,000.0",23%,"2,723","7,644","$1,173,596,026,499.0","$402,689,241.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Corporate Venture Capital,&nbsp;Incubator","1,403","1,733",2,589,1,417,1,27,"$5,776,302,211.0","8,308",3,5,"172,108.28",0.92,0.92,1.68
