Hub Name,Number of Organizations,Number of People,Number of Events,CB Rank (Hub),Description,Last Updated,Hub Type,Parent Organization,Disverity Spotlight (US Only),Industries,Industry Groups,Location,Location Type,Closed Year,Founded Year,Funding Status,Investment Stage,Investor Type,Number of Employees,Estimated Revenue Range,Number of Investors,Number of Lead Investors,Average Founded Date,Number of Non-Profit Companies,Number of For-Profit Companies,Percentage Non-Profit,Percentage Public Organizations,Number of IPOs,Average IPO Date,Percentage Delisted,Top Funding Types,Number of Funding Rounds,Median Number of Funding Rounds,Total Funding Amount,Median Total Funding Amount,Total Equity Funding Amount,Average Last Funding Date,Total Amount Raised in IPO,Median Amount Raised in IPO,Total IPO Valuation,Median IPO Valuation,Percentage Acquired,Number of Acquired Organizations,Number of Acquisitions,Total Acquired Price,Median Acquired Price,Top Investor Types,Number of Portfolio Companies,Number of Investments,Median Number of Investments,Number of Lead Investors.1,Median Number of Lead Investors,Number of Exits,Median Number of Exits,Number of Funds,Total Fund Raised,Number of Founders,Number of Founder Alumni,Number of Alumni,Average Rank,Average Trend Score (7D),Average Trend Score (30D),Average Trend Score (90D)
United States Companies With Less Than $50M in Revenue (Top 10K),"9,786",960,"6,015",11,"The top 10,000 companies and startups in United States with less than $50m in revenue, by Crunchbase rank.",2022-09-15 11:54:00,"Active, Company, Location, Revenue Range",,,,,"United States, North America",Country,,,,,,,$10M to $50M,"81,335","22,502",2011-12-08,29,"9,467",0%,9%,936,2015-06-02,0%,"Venture - Series Unknown,&nbsp;Series A,&nbsp;Series B,&nbsp;Seed,&nbsp;Series C","44,045",4,893980397433.0,30945271.0,740543555691.0,2011-12-08,80812519604.0,89416661.0,400111912956.0,459096666.0,16%,"1,651","4,583",236341475135.0,238500000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Incubator","39,361","58,150",4,"15,558",6,"9,070",7,"1,067",342238439028.0,"21,188","1,258","2,532","16,214.6",0.97,0.97,1.53
Companies With Less Than $1B in Revenue (Top 10K),"9,730",985,"10,000",12,"The top 10,000 companies and startups with less than $1b in revenue, by Crunchbase rank.",2022-09-15 12:15:00,"Active, Company, Revenue Range",,,,,,,,,,,,,$500M to $1B,"90,559","27,356",2010-02-14,29,"9,425",0%,17%,"1,876",2014-12-02,1%,"Venture - Series Unknown,&nbsp;Series B,&nbsp;Series A,&nbsp;Series C,&nbsp;Post-IPO Equity","47,288",4,1928350866972.0,59220014.0,1416899844016.0,2010-02-14,281788145089.0,131345340.0,1961887990928.0,850842184.0,17%,"1,889","12,133",875861136859.0,450000000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Corporate Venture Capital","47,757","66,784",2,"18,986",2,"9,686",2,"1,324",905058966776.0,"21,654","1,861","3,724","8,758.48",1.27,1.27,1.99
Companies With Less Than $500M in Revenue (Top 10K),"9,933",995,"10,000",13,"The top 10,000 companies and startups with less than $500m in revenue, by Crunchbase rank.",2022-09-15 11:08:00,"Active, Company, Revenue Range",,,,,,,,,,,,,$100M to $500M,"91,394","27,541",2010-09-26,31,"9,618",0%,15%,"1,743",2015-06-02,1%,"Venture - Series Unknown,&nbsp;Series B,&nbsp;Series A,&nbsp;Series C,&nbsp;Post-IPO Equity","47,910",4,1665680487427.0,54933476.0,1250936240358.0,2010-09-26,227291477586.0,124113164.0,1501038838624.0,761028333.0,17%,"1,866","10,468",752930991414.0,400000000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Corporate Venture Capital","48,182","67,699",2,"18,668",2,"9,703",2,"1,279",713063141853.0,"22,163","1,860","3,720","9,300.84",1.25,1.25,1.95
Manufacturing Companies With More Than $1M in Revenue (Top 10K),"9,482",985,84,14,"The top 10,000 companies and startups in the manufacturing space with more than $1m in revenue, by Crunchbase rank.",2022-09-15 10:05:00,"Active, Industry, Company, Revenue Range",,,Manufacturing,Manufacturing,,,,,,,,,$1M to $10M,"10,783","4,008",1981-11-17,11,"9,309",0%,11%,"1,257",2003-10-26,1%,"Venture - Series Unknown,&nbsp;Grant,&nbsp;Private Equity,&nbsp;Seed,&nbsp;Debt Financing","10,531",2,463753586853.0,4097552.0,226931512040.0,1981-11-17,65139787712.0,113668456.0,248481527072.0,724262203.0,14%,"1,561","7,789",665795921170.0,451000000.0,"Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Family Investment Office","2,600","3,110",2,"1,176",1,673,1,31,6617862094.0,"7,613",2,4,"181,124.9",1.01,1.01,1.78
Companies With Less Than $50M in Revenue (Top 10K),"9,830",987,"10,000",15,"The top 10,000 companies and startups with less than $50m in revenue, by Crunchbase rank.",2022-09-15 11:28:00,"Active, Company, Revenue Range",,,,,,,,,,,,,$10M to $50M,"86,966","25,865",2012-01-19,36,"9,489",0%,11%,"1,189",2016-01-16,0%,"Venture - Series Unknown,&nbsp;Series B,&nbsp;Series A,&nbsp;Series C,&nbsp;Seed","45,700",4,1133832052402.0,40600452.0,900184533288.0,2012-01-19,102031023912.0,97000000.0,503913491836.0,512060000.0,15%,"1,574","5,864",267068988174.0,200000000.0,"Venture Capital,&nbsp;Accelerator,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Incubator","40,762","58,634",3,"16,477",3,"8,136",3,"1,070",318321033225.0,"22,062","1,258","2,534","10,998.9",1.19,1.19,1.85
Manufacturing Companies With Less Than $1B in Revenue (Top 10K),"9,788","1,002",90,16,"The top 10,000 companies and startups in the manufacturing space with less than $1b in revenue, by Crunchbase rank.",2022-09-15 11:09:00,"Active, Industry, Company, Revenue Range",,,Manufacturing,Manufacturing,,,,,,,,,$500M to $1B,"12,022","4,423",1987-04-30,10,"9,615",0%,8%,924,2006-11-13,1%,"Venture - Series Unknown,&nbsp;Grant,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Debt Financing","12,110",2,241578579331.0,2855085.0,169467485095.0,1987-04-30,41119146805.0,94300000.0,191011681958.0,579659744.0,14%,"1,536","3,796",322497572272.0,310000000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Corporate Venture Capital,&nbsp;Family Investment Office",840,"1,018",1,388,1,171,1,24,5473565000.0,"8,156",0,0,"180,611.81",1.01,1.01,1.74
Manufacturing Companies With Less Than $500M in Revenue (Top 10K),"9,468",981,90,17,"The top 10,000 companies and startups in the manufacturing space with less than $500m in revenue, by Crunchbase rank.",2022-09-15 09:19:00,"Active, Industry, Company, Revenue Range",,,Manufacturing,Manufacturing,,,,,,,,,$100M to $500M,"11,759","4,325",1988-05-05,9,"9,305",0%,7%,773,2007-11-04,1%,"Venture - Series Unknown,&nbsp;Grant,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Debt Financing","11,878",2,164986505605.0,2748960.0,120448497667.0,1988-05-05,34169298972.0,83700000.0,157826303361.0,468541254.0,13%,"1,437","2,758",256929036599.0,276250000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Corporate Venture Capital,&nbsp;Family Investment Office",696,849,1,306,1,142,1,24,5473565000.0,"7,929",0,0,"180,790.4",1.02,1.02,1.74
United States Companies With Fewer Than 100 Employees (Top 10K),"9,718",906,"6,253",18,"The top 10,000 companies and startups in United States with fewer than 100 employees, by Crunchbase rank.",2022-09-15 11:31:00,"Active, Company, Employee Range, Location",,,,,"United States, North America",Country,,,,,,,,"75,020","18,813",2014-12-25,23,"9,059",0%,5%,594,2015-11-01,0%,"Series A,&nbsp;Seed,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C","36,298",3,420449275894.0,18139265.0,355347082239.0,2014-12-25,36438453816.0,75333333.0,126427169063.0,366350000.0,9%,951,"1,897",84752687999.0,161000000.0,"Venture Capital,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Private Equity Firm,&nbsp;Venture Debt","23,815","34,531",9,"8,069",8,"5,475",8,709,153784399449.0,"20,601",22,51,"15,356.06",1.15,1.15,1.91
Companies With Fewer Than 100 Employees (Top 10K),"9,664",916,"10,000",19,"The top 10,000 companies and startups with fewer than 100 employees, by Crunchbase rank.",2022-09-15 09:05:00,"Active, Company, Employee Range",,,,,,,,,,,,,,"81,683","21,676",2015-08-03,34,"8,962",0%,5%,575,2016-10-04,0%,"Series A,&nbsp;Seed,&nbsp;Series B,&nbsp;Venture - Series Unknown,&nbsp;Series C","36,690",3,498397580309.0,21615067.0,417268572903.0,2015-08-03,34948074131.0,84000000.0,146432706018.0,413250000.0,8%,772,"2,137",86556002444.0,130000000.0,"Venture Capital,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Private Equity Firm,&nbsp;Venture Debt","26,317","37,747",6,"10,102",6,"4,811",5,817,137395015684.0,"21,254",8,12,"10,030.44",1.58,1.58,2.58
Manufacturing Companies With Less Than $50M in Revenue (Top 10K),"9,800",940,89,20,"The top 10,000 companies and startups in the manufacturing space with less than $50m in revenue, by Crunchbase rank.",2022-09-15 11:51:00,"Active, Industry, Company, Revenue Range",,,Manufacturing,Manufacturing,,,,,,,,,$10M to $50M,"10,736","3,886",1989-11-18,8,"9,624",0%,4%,488,2009-07-12,0%,"Venture - Series Unknown,&nbsp;Grant,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Debt Financing","11,001",2,109000861221.0,2198402.0,88275263841.0,1989-11-18,20763960711.0,69999937.0,91091636309.0,390411806.0,10%,"1,076","1,395",100595925350.0,166012608.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Corporate Venture Capital,&nbsp;Micro VC",527,659,1,220,1,102,1,18,2698764985.0,"7,405",0,0,"210,996.55",1.14,1.14,1.91
Companies With More Than 50 Employees (Top 10K),"9,733",987,"10,000",21,"The top 10,000 companies and startups with more than 50 employees, by Crunchbase rank.",2022-09-15 11:16:00,"Active, Company, Employee Range",,,,,,,,,,,,,,"88,589","28,349",2006-05-05,24,"9,476",0%,20%,"2,276",2011-09-26,1%,"Series B,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Series C,&nbsp;Post-IPO Equity","46,014",4,3457168036738.0,87326575.0,2263243157542.0,2006-05-05,497767219429.0,164000042.0,3304041285225.0,1200000000.0,15%,"1,704","21,520",1347040736976.0,712000000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Corporate Venture Capital,&nbsp;Accelerator","49,767","67,222",3,"22,561",2,"11,902",2,"1,352",1646544775028.0,"21,169","1,292","2,589","7,587.37",1.26,1.26,1.95
United States Companies With Less Than $10M in Revenue (Top 10K),"9,845",992,"5,263",22,"The top 10,000 companies and startups in United States with less than $10m in revenue, by Crunchbase rank.",2022-09-15 10:56:00,"Active, Company, Location, Revenue Range",,,,,"United States, North America",Country,,,,,,,$1M to $10M,"71,363","19,215",2013-01-16,28,"9,486",0%,6%,645,2014-10-24,0%,"Venture - Series Unknown,&nbsp;Series A,&nbsp;Seed,&nbsp;Series B,&nbsp;Series C","40,514",4,544079575993.0,18073794.0,461321811460.0,2013-01-16,31041262973.0,60250000.0,147880681821.0,340300000.0,14%,"1,434","2,681",102395085131.0,151466666.0,"Venture Capital,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Private Equity Firm,&nbsp;Incubator","34,054","48,750",14,"12,413",10,"6,886",8,"1,024",181343596322.0,"20,861","1,260","2,535","22,743.29",0.87,0.87,1.34
Southern US Companies With More Than $1M in Revenue (Top 10K),"9,565",966,"1,125",23,"The top 10,000 companies and startups in Southern US with more than $1m in revenue, by Crunchbase rank.",2022-09-15 11:41:00,"Active, Company, Location, Revenue Range",,,,,"Southern US, United States, North America",Regional Area,,,,,,,$1M to $10M,"17,533","6,302",2000-01-08,136,"8,981",1%,8%,891,2006-02-19,1%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Debt Financing,&nbsp;Grant","17,896",2,400008063727.0,4689541.0,242724678462.0,2000-01-08,115355334474.0,114516413.0,307582145207.0,718110000.0,19%,"2,127","10,001",946680107356.0,500000000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Investment Bank","13,153","17,933",3,"6,086",3,"3,668",2,724,496046748190.0,"13,189",8,13,"105,000.12",0.71,0.71,1.18
United States Companies With Fewer Than 50 Employees (Top 10K),"9,977",993,"5,774",24,"The top 10,000 companies and startups in United States with fewer than 50 employees, by Crunchbase rank.",2022-09-15 10:16:00,"Active, Company, Employee Range, Location",,,,,"United States, North America",Country,,,,,,,,"69,022","16,778",2015-08-15,21,"9,184",0%,4%,467,2016-02-04,0%,"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Debt Financing","34,151",3,293234166866.0,11579352.0,255111506798.0,2015-08-15,23019238065.0,75000000.0,83702914716.0,366092500.0,8%,847,"1,267",30983489786.0,115000000.0,"Venture Capital,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Private Equity Firm,&nbsp;Family Investment Office","24,966","35,992",24,"7,855",12,"5,247",8,715,129893936747.0,"20,609",23,52,"20,207.17",1.03,1.03,1.72
Manufacturing Companies With More Than 10 Employees (Top 10K),"9,978",983,125,25,"The top 10,000 companies and startups in the manufacturing space with more than 10 employees, by Crunchbase rank.",2022-09-15 12:27:00,"Active, Industry, Company, Employee Range",,,Manufacturing,Manufacturing,,,,,,,,,,"17,839","6,243",1987-04-28,8,"9,687",0%,17%,"1,974",2005-01-08,2%,"Venture - Series Unknown,&nbsp;Grant,&nbsp;Series A,&nbsp;Seed,&nbsp;Post-IPO Equity","15,410",1,573117128231.0,4740892.0,306886783304.0,1987-04-28,99059813017.0,102000000.0,375435493476.0,590159744.0,18%,"2,328","10,996",1280162468669.0,512380941.0,"Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Investment Bank","2,938","3,458",2,"1,279",1,721,1,29,5789699305.0,"9,770",3,4,"121,643.03",0.74,0.74,1.25
Companies With Fewer Than 50 Employees (Top 10K),"9,752",905,"10,000",26,"The top 10,000 companies and startups with fewer than 50 employees, by Crunchbase rank.",2022-09-15 11:19:00,"Active, Company, Employee Range",,,,,,,,,,,,,,"75,805","19,401",2016-02-17,34,"8,880",0%,5%,509,2016-09-27,0%,"Series A,&nbsp;Seed,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C","33,921",3,364954182881.0,14966829.0,307490477997.0,2016-02-17,27400604503.0,81366666.0,113699604107.0,435919060.0,6%,631,"1,366",27545280420.0,104756500.0,"Venture Capital,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Private Equity Firm,&nbsp;Incubator","24,699","34,940",9,"8,897",8,"4,012",6,755,98808482634.0,"20,874",23,51,"13,177.08",1.45,1.45,2.39
United States Manufacturing Companies (Top 10K),"9,686",990,40,27,"The top 10,000 companies and startups in United States in the manufacturing space, by Crunchbase rank.",2022-09-15 11:30:00,"Active, Industry, Company, Location",,,Manufacturing,Manufacturing,"United States, North America",Country,,,,,,,,"10,159","3,697",1985-01-30,8,"9,229",0%,8%,953,2001-03-28,2%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Private Equity,&nbsp;Debt Financing","11,176",2,345330156015.0,1953245.0,144542692826.0,1985-01-30,75249021804.0,102416666.0,295302331157.0,608000000.0,23%,"2,723","7,644",1173596026499.0,402689241.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Corporate Venture Capital,&nbsp;Incubator","1,403","1,733",2,589,1,417,1,27,5776302211.0,"8,308",3,5,"172,108.28",0.92,0.92,1.68
Companies With Less Than $10M in Revenue (Top 10K),"9,834",903,"10,000",28,"The top 10,000 companies and startups with less than $10m in revenue, by Crunchbase rank.",2022-09-15 12:31:00,"Active, Company, Revenue Range",,,,,,,,,,,,,$1M to $10M,"78,038","22,605",2013-04-20,31,"9,479",0%,8%,858,2015-10-25,0%,"Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Seed,&nbsp;Series C","41,986",4,668174860073.0,24671469.0,565534095151.0,2013-04-20,46475550908.0,75000000.0,214171572451.0,355000000.0,14%,"1,406","3,321",111896623082.0,120000000.0,"Venture Capital,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Private Equity Firm,&nbsp;Incubator","34,479","47,057",4,"12,063",5,"5,481",4,927,134494587863.0,"21,739","1,258","2,533","15,272.65",1.05,1.05,1.61
Manufacturing Companies With Fewer Than 1000 Employees (Top 10K),"9,570",991,138,29,"The top 10,000 companies and startups in the manufacturing space with fewer than 1000 employees, by Crunchbase rank.",2022-09-15 11:45:00,"Active, Industry, Company, Employee Range",,,Manufacturing,Manufacturing,,,,,,,,,,"20,153","7,108",2000-10-26,9,"9,171",0%,8%,944,2011-03-15,1%,"Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Series A,&nbsp;Debt Financing","18,650",2,208092715707.0,2273374.0,168325416001.0,2000-10-26,29409614559.0,72000000.0,156687244502.0,403388881.0,13%,"1,497","2,494",204017213362.0,219000000.0,"Venture Capital,&nbsp;Accelerator,&nbsp;Private Equity Firm,&nbsp;Corporate Venture Capital,&nbsp;Micro VC",815,"1,037",1,322,1,181,1,20,4886302211.0,"10,681",1,2,"110,980.08",0.7,0.7,1.09
