Text,Lemma,PoS,Tag,Dep,Shape,Sentiment
"Gaming, Mobile, PC Games",6,6,6,6,6,6
"3D Technology, Augmented Reality, Gaming, Video Games, Virtual Reality",13,13,13,13,13,13
"Artificial Intelligence, Consumer Electronics, Electronics, Employee Benefits, Insurance",12,12,12,12,12,12
"E-Commerce, Grocery, Internet, Marketing, Retail Technology",12,12,12,12,12,12
"Consumer, Mobile Apps, Point of Sale, Small and Medium Businesses",13,13,13,13,13,13
"Agriculture, Farming, Organic Food, Sustainability",8,8,8,8,8,8
"Artificial Intelligence, Biotechnology, Health Care, Health Diagnostics, Medical Device, Therapeutics",15,15,15,15,15,15
"Internet, Telecommunications, TV, Video, Web Hosting",10,10,10,10,10,10
"Blockchain, Cryptocurrency, Internet of Things, Telecommunications, Wireless",11,11,11,11,11,11
"Agriculture, AgTech, Artificial Intelligence, Farming",8,8,8,8,8,8
"Artificial Intelligence, Media and Entertainment, Publishing, Video Games",11,11,11,11,11,11
"Finance, FinTech, Mobile Payments, SaaS",8,8,8,8,8,8
"Health Care, Medical, Medical Device",7,7,7,7,7,7
"Crowdfunding, FinTech, Real Estate, Real Estate Investment, Residential",12,12,12,12,12,12
"Education, Higher Education, Training, Vocational Education",9,9,9,9,9,9
"Delivery, E-Commerce, E-Commerce Platforms, Grocery, Retail",14,14,14,14,14,14
"Artificial Intelligence, Information Technology, Machine Learning",8,8,8,8,8,8
"Biotechnology, Health Care, Medical, Pharmaceutical",8,8,8,8,8,8
"Digital Marketing, Marketing Automation, Messaging, SaaS, Software",11,11,11,11,11,11
"Asset Management, Financial Exchanges, Financial Services",8,8,8,8,8,8
"Financial Services, FinTech, Personal Finance",7,7,7,7,7,7
"Finance, Financial Services, FinTech, Small and Medium Businesses",11,11,11,11,11,11
"E-Commerce, Furniture, Home Decor, Retail",10,10,10,10,10,10
"Blockchain, Cryptocurrency, Digital Media, Ethereum",8,8,8,8,8,8
"Electrical Distribution, Electronics, Manufacturing, Power Grid",9,9,9,9,9,9
"Blockchain, Marketplace, Software, Web Apps",8,8,8,8,8,8
"Health Care, Medical, Wellness",6,6,6,6,6,6
"Enterprise Software, Procurement, Productivity Tools, Software, Supply Chain Management",13,13,13,13,13,13
"Finance, Financial Services, Software, Venture Capital",9,9,9,9,9,9
"Asset Management, Banking, Finance, Financial Services, FinTech",11,11,11,11,11,11
"Electronics, Enterprise Software, Internet of Things, Mobile Devices, Telecommunications",13,13,13,13,13,13
"Enterprise Software, Messaging, Mobile Apps, SMS, Software",11,11,11,11,11,11
"Apps, Consumer Electronics, Electronics, Information Services, Information Technology, Internet, Telecommunications",16,16,16,16,16,16
"E-Commerce, Financial Services, Venture Capital",9,9,9,9,9,9
"FinTech, Payments, Sustainability, Transportation",7,7,7,7,7,7
"Delivery Service, Food and Beverage, Food Delivery, Subscription Service",12,12,12,12,12,12
"Automotive, Autonomous Vehicles, Electric Vehicle, Manufacturing, Transportation",11,11,11,11,11,11
"Blockchain, Cryptocurrency, Financial Services, FinTech, Trading Platform",11,11,11,11,11,11
"Communications Infrastructure, Contact Management, Customer Service, Information and Communications Technology (ICT), Information Technology, Public Safety, Unified Communications",25,25,25,25,25,25
"Automotive, Electric Vehicle, Electronics, Energy, Industrial Manufacturing",11,11,11,11,11,11
"Computer, Cyber Security, Information Services, Information Technology, SaaS",12,12,12,12,12,12
"Finance, Financial Services, FinTech, Wealth Management",9,9,9,9,9,9
"Internet, Privacy, Search Engine, Software",8,8,8,8,8,8
"Computer, Developer Platform, PC Games, Video Games",10,10,10,10,10,10
"Commercial Real Estate, Property Development, Real Estate",9,9,9,9,9,9
"Cloud Data Services, Cloud Infrastructure, Network Hardware, Software",11,11,11,11,11,11
"Big Data, Bioinformatics, Biotechnology, Genetics, Health Care, Personal Health",14,14,14,14,14,14
"Business Development, Corporate Training, E-Learning, Productivity Tools",12,12,12,12,12,12
E-Commerce,3,3,3,3,3,3
"Beauty, Brand Marketing, Cosmetics, Internet, Online Portals, Retail",13,13,13,13,13,13
"Bitcoin, Blockchain, Cryptocurrency, Financial Exchanges, Financial Services",11,11,11,11,11,11
"Clean Energy, Energy, Renewable Energy, Solar",9,9,9,9,9,9
"Automotive, Autonomous Vehicles, Electric Vehicle, Electronics, Transportation",11,11,11,11,11,11
"Cyber Security, Information Technology, Internet, Network Security, Telecommunications",12,12,12,12,12,12
"Biotechnology, Health Care, Life Science, Manufacturing, Marketing, Medical, Pharmaceutical, Therapeutics",17,17,17,17,17,17
"Energy, Renewable Energy, Solar",6,6,6,6,6,6
"Computer, Electronics, Hardware, Mobile",7,7,7,7,7,7
"Finance, Financial Services, Venture Capital",7,7,7,7,7,7
"Blogging Platforms, Messaging, SMS, Social Media",9,9,9,9,9,9
"Consumer Lending, Finance, FinTech, Lending, Real Estate",11,11,11,11,11,11
"Biotechnology, Cloud Computing, Life Science",7,7,7,7,7,7
"Finance, Financial Services, Venture Capital",7,7,7,7,7,7
"Bitcoin, Blockchain, Cryptocurrency, Financial Services, Peer to Peer, Transaction Processing",15,15,15,15,15,15
"Analytics, Marketing Automation, Mobile, Real Time, SaaS",11,11,11,11,11,11
"Commercial Real Estate, FinTech, Internet, Real Estate, Real Estate Investment, SaaS, Software",18,18,18,18,18,18
"E-Commerce, Grocery, Internet, Logistics, Retail",11,11,11,11,11,11
"Gaming, Online Games, Retail, Software, Video Games",11,11,11,11,11,11
"Delivery Service, E-Commerce, Grocery, Shopping",10,10,10,10,10,10
"Electronics, Mechanical Design, Mechanical Engineering, Quantum Computing, Software",12,12,12,12,12,12
"Finance, Financial Services, FinTech, PaaS",8,8,8,8,8,8
"Banking, FinTech, SaaS, Virtual Currency",8,8,8,8,8,8
"Financial Services, Internet, Lending",6,6,6,6,6,6
"Delivery, E-Commerce, Food Delivery, Marketplace",10,10,10,10,10,10
"E-Commerce, E-Commerce Platforms, Enterprise Software, SaaS",13,13,13,13,13,13
"Cloud Computing, Computer, Recycling, SaaS, Sustainability",10,10,10,10,10,10
"Agriculture, AgTech, E-Commerce, Trading Platform",10,10,10,10,10,10
"Chemical, Fuel, GreenTech, Oil and Gas",9,9,9,9,9,9
"B2B, Consulting, Human Resources, Information Technology, Software",11,11,11,11,11,11
"Events, Marketing, Marketplace, Ticketing, Travel",9,9,9,9,9,9
"Blockchain, Finance, Financial Services, FinTech",8,8,8,8,8,8
"Education, Health Care, Information Technology, Medical, mHealth",11,11,11,11,11,11
"E-Commerce, Grocery, Mobile",7,7,7,7,7,7
"Finance, Financial Services, FinTech, SaaS, Small and Medium Businesses",13,13,13,13,13,13
"Artificial Intelligence, Customer Service, Enterprise Software, Machine Learning, SaaS",13,13,13,13,13,13
"Artificial Intelligence, Information Technology, Machine Learning, Software",10,10,10,10,10,10
"Blockchain, Ethereum, Information Technology, Infrastructure",8,8,8,8,8,8
"Health Care, Health Diagnostics, Hospital, Medical, Wellness",11,11,11,11,11,11
"Credit, E-Commerce, Finance, Financial Services, FinTech, Retail Technology",15,15,15,15,15,15
"Artificial Intelligence, Construction, Consulting, Information Technology, Outsourcing",11,11,11,11,11,11
"Cyber Security, Information Technology, Security, Smart Home",10,10,10,10,10,10
"Artificial Intelligence, Big Data, Government, GovTech, Predictive Analytics",12,12,12,12,12,12
"Financial Services, FinTech, Mobile Apps, Mobile Payments",10,10,10,10,10,10
"E-Commerce, Fashion, Marketplace, Textiles",9,9,9,9,9,9
"Freight Service, Logistics, Supply Chain Management, Transportation",10,10,10,10,10,10
"Apps, Marketplace, Mobile",5,5,5,5,5,5
"Commercial Lending, Financial Services, FinTech, Funding Platform, Lending",12,12,12,12,12,12
"Financial Services, FinTech, Mobile Payments",7,7,7,7,7,7
"Consumer Applications, Consumer Electronics, Consumer Software, Enterprise Software",11,11,11,11,11,11
"Automotive, Freight Service, Logistics, Shipping, Transportation",10,10,10,10,10,10
"Billing, Developer APIs, Payments, SaaS, Software",10,10,10,10,10,10
"Financial Services, FinTech, Payments",6,6,6,6,6,6
"Blockchain, Information Technology, Internet, Security, Software",10,10,10,10,10,10
"E-Commerce, Pet, Retail",7,7,7,7,7,7
"Blockchain, Domain Registrar, Internet",6,6,6,6,6,6
"Information Technology, Marketing Automation, SaaS, Sales Automation, Software",12,12,12,12,12,12
"Consumer, Consumer Electronics, E-Commerce, Marketplace",10,10,10,10,10,10
"E-Commerce, Food Delivery, Internet, Local Business",11,11,11,11,11,11
"Blockchain, Computer, Cryptocurrency, Network Security, Software",10,10,10,10,10,10
"Credit, Financial Services, FinTech",6,6,6,6,6,6
"Apps, Artificial Intelligence, Big Data, Mobile Apps, Predictive Analytics, Travel",15,15,15,15,15,15
"B2C, Consumer Electronics, Consumer Goods, Leisure, Lifestyle",11,11,11,11,11,11
"Augmented Reality, Hardware, Software, Virtual Reality, Virtualization",11,11,11,11,11,11
"Compliance, E-Commerce, Financial Services, Sales, Software",12,12,12,12,12,12
"Analytics, Business Intelligence, Computer, Finance, Software",10,10,10,10,10,10
"Aerospace, Commercial, Space Travel, Transportation",8,8,8,8,8,8
"Analytics, Business Intelligence, CRM, SaaS",8,8,8,8,8,8
"Enterprise Software, Human Resources, Management Information Systems, SaaS, Software",13,13,13,13,13,13
"Analytics, Financial Services, FinTech, Information Technology",9,9,9,9,9,9
"Artificial Intelligence, Health Care, Machine Learning",8,8,8,8,8,8
"Banking, Finance, Financial Services, Venture Capital",9,9,9,9,9,9
"Automotive, Electric Vehicle, Electronic Design Automation (EDA), Information Technology",14,14,14,14,14,14
Telecommunications,1,1,1,1,1,1
"Last Mile Transportation, Mobile Apps, Ride Sharing, Transportation",11,11,11,11,11,11
"Blockchain, Cryptocurrency, Data Storage, Internet",8,8,8,8,8,8
"Agriculture, Artificial Intelligence, Big Data, Data Visualization, Information Technology, SaaS",15,15,15,15,15,15
"Apps, Audio, Digital Entertainment, Podcast, Software",10,10,10,10,10,10
"Developer Tools, Enterprise Software, Information Services, Information Technology, SaaS, Software Engineering",16,16,16,16,16,16
"Finance, Financial Services, Venture Capital",7,7,7,7,7,7
"Finance, Financial Services, FinTech, Marketplace",8,8,8,8,8,8
"E-Commerce, Furniture, Lifestyle",7,7,7,7,7,7
"Developer APIs, Financial Services, FinTech, Identity Management, Lending",12,12,12,12,12,12
"Payments, Real Estate, Rental Property, Software",9,9,9,9,9,9
"Apps, Real Estate",4,4,4,4,4,4
"Biotechnology, Food Processing, Nutrition, Sustainability",8,8,8,8,8,8
"Blockchain, Digital Entertainment, Loyalty Programs, Mobile, Retail, Shopping, Social Media, Sports, Travel",20,20,20,20,20,20
"Advertising Platforms, Consumer Electronics, Digital Entertainment, Hardware, Software",12,12,12,12,12,12
"Blockchain, Cryptocurrency, Ethereum, Financial Services, FinTech, Lending, Open Source, Peer to Peer",19,19,19,19,19,19
"Consumer Goods, E-Commerce, Health Care, Personal Health, Wellness",14,14,14,14,14,14
"Aerospace, Consumer Electronics, Drones, Manufacturing, Photography, Wireless",12,12,12,12,12,12
"Banking, Digital Marketing, Finance, Financial Services, Insurance",11,11,11,11,11,11
"Blockchain, Cryptocurrency, FinTech, Mobile, Software",9,9,9,9,9,9
"E-Commerce, Retail Technology",6,6,6,6,6,6
"Hospitality, Travel, Travel Accommodations",6,6,6,6,6,6
"Credit Cards, Enterprise Software, Financial Services, FinTech, Payments, Software",14,14,14,14,14,14
"Food and Beverage, Nutrition, Restaurants",7,7,7,7,7,7
"Food Delivery, Mobile Apps, Reservations, Restaurants",9,9,9,9,9,9
"Human Resources, Professional Services, SaaS, Software",9,9,9,9,9,9
"Cloud Infrastructure, FinTech, Procurement, SaaS, Software",10,10,10,10,10,10
"Child Care, EdTech, Education, Parenting, Primary Education",11,11,11,11,11,11
"Automotive, E-Commerce, Logistics, Marketplace, Retail Technology",12,12,12,12,12,12
"Automotive, Financial Services, FinTech, Transportation",8,8,8,8,8,8
"Crowdfunding, Cryptocurrency, Financial Services, Venture Capital",9,9,9,9,9,9
"Banking, Financial Services",4,4,4,4,4,4
Financial Services,2,2,2,2,2,2
"Aerospace, Manufacturing, National Security, Renewable Energy",9,9,9,9,9,9
"E-Learning, EdTech, Education, Mobile Apps, Skill Assessment, Software, Virtual Reality",18,18,18,18,18,18
"Artificial Intelligence, Information Technology, Internet, Mobile, Telecommunications",11,11,11,11,11,11
"Logistics, Mobile Apps, Public Transportation, Ride Sharing, Transportation",12,12,12,12,12,12
"Biotechnology, Genetics, Health Care, Health Diagnostics, Medical",11,11,11,11,11,11
"Banking, Finance, Financial Services, Venture Capital, Wealth Management",12,12,12,12,12,12
"Bitcoin, Blockchain, Cryptocurrency, Ethereum",7,7,7,7,7,7
"Collectibles, E-Commerce, Gaming",7,7,7,7,7,7
"Blockchain, Cryptocurrency",3,3,3,3,3,3
"Asset Management, Credit, Financial Services, Property Management, Real Estate",13,13,13,13,13,13
"Banking, Finance, Financial Services, FinTech",8,8,8,8,8,8
"Collaboration, Enterprise Software, Meeting Software, Productivity Tools, Scheduling, Software",14,14,14,14,14,14
"Health Care, Hospital, Human Resources, Medical, Recruiting",11,11,11,11,11,11
"Cloud Security, Cyber Security, Enterprise Software, Security",10,10,10,10,10,10
"Cloud Computing, Database, Open Source, SaaS, Software",11,11,11,11,11,11
"Enterprise Software, Event Management, SaaS",7,7,7,7,7,7
"Finance, Financial Services, FinTech, Software",8,8,8,8,8,8
"Cloud Infrastructure, Communications Infrastructure, Software, Telecommunications",9,9,9,9,9,9
"Artificial Intelligence, Cloud Data Services, Information Technology, Machine Learning, Sales Automation",15,15,15,15,15,15
"Health Care, Medical, Medical Device",7,7,7,7,7,7
"Artificial Intelligence, Machine Learning, Marketing, Real Time",10,10,10,10,10,10
Construction,1,1,1,1,1,1
"Artificial Intelligence, Health Care, Health Diagnostics, Machine Learning, Medical Device",14,14,14,14,14,14
"Clean Energy, Energy, Environmental Engineering, Renewable Energy",10,10,10,10,10,10
"Biotechnology, Chemical, Health Care, Pharmaceutical",8,8,8,8,8,8
"Analytics, Marketing, SaaS, Social Media",8,8,8,8,8,8
"Ediscovery, Enterprise Software, Legal, Legal Tech",9,9,9,9,9,9
"Biotechnology, Health Care, Hospital, Life Science, Medical",11,11,11,11,11,11
"Billing, Finance, Financial Services, FinTech, Payments",10,10,10,10,10,10
"Delivery Service, E-Commerce, Logistics, Supply Chain Management",12,12,12,12,12,12
"Apps, Finance, Internet, Personal Health",8,8,8,8,8,8
"Big Data, Developer Tools, Email, Information Technology, Mobile, Search Engine",15,15,15,15,15,15
"Dating, LGBT, Location Based Services, Mobile Apps",10,10,10,10,10,10
"3D Technology, Augmented Reality, Blockchain, Collectibles, Cryptocurrency, Digital Entertainment, Semantic Web, Sports",19,19,19,19,19,19
"Crowdfunding, Finance, Financial Services, FinTech, Funding Platform",11,11,11,11,11,11
"Biotechnology, Health Care, Medical, Pharmaceutical",8,8,8,8,8,8
"Financial Services, Intellectual Property",5,5,5,5,5,5
"Banking, Financial Services, FinTech, Insurance",8,8,8,8,8,8
"Credit, Financial Services, FinTech, Lending, Lifestyle",10,10,10,10,10,10
"Biotechnology, Genetics, Health Care, Life Science",9,9,9,9,9,9
"Banking, Consulting, Finance, Financial Services, FinTech, Wealth Management",13,13,13,13,13,13
"Accounting, Billing, FinTech, Personal Finance, SaaS, Software",12,12,12,12,12,12
"E-Commerce, Hospitality, Hotel, Information Services, Internet, Restaurants, Social Media, Travel, Vacation Rental",22,22,22,22,22,22
"Elder Care, Health Care, Health Diagnostics, Mobile Apps, Personal Health, Service Industry, Wellness",19,19,19,19,19,19
"E-Commerce, E-Commerce Platforms, Group Buying",11,11,11,11,11,11
"Enterprise Software, Marketing, Marketing Automation, Sales Automation, SMS",12,12,12,12,12,12
"E-Learning, EdTech, Education, Knowledge Management, Software",12,12,12,12,12,12
"Finance, Financial Services, Small and Medium Businesses, Supply Chain Management",13,13,13,13,13,13
"Health Care, Health Insurance, Insurance, Venture Capital",10,10,10,10,10,10
"Accounting, Banking, Financial Services, FinTech, Information Technology, Mobile Payments",14,14,14,14,14,14
"Fantasy Sports, Gaming, Online Games, Sports",9,9,9,9,9,9
"Independent Music, Information Technology, Marketing, Music, Music Label",12,12,12,12,12,12
"Big Data, Consumer Lending, Financial Services, FinTech",10,10,10,10,10,10
"Food and Beverage, Food Processing, Organic Food, Personal Health",12,12,12,12,12,12
"Biotechnology, Medical, Pharmaceutical, Therapeutics",7,7,7,7,7,7
"Digital Marketing, Information Services, Information Technology",8,8,8,8,8,8
"Environmental Consulting, Environmental Engineering, Sustainability",7,7,7,7,7,7
"Content Creators, Developer APIs, Developer Platform, Developer Tools, Software",13,13,13,13,13,13
"Augmented Reality, Software, Video Games, Virtual Reality",10,10,10,10,10,10
"Augmented Reality, Information Technology, Virtual Reality, Wearables",10,10,10,10,10,10
"Cloud Data Services, Food and Beverage, Food Delivery",10,10,10,10,10,10
"Collaboration, CRM, Developer Tools, Marketing, Project Management, SaaS, Task Management",16,16,16,16,16,16
"FinTech, Marketplace, Real Estate, Rental Property",9,9,9,9,9,9
"Finance, Financial Services, FinTech, Payments",8,8,8,8,8,8
"Cloud Computing, Enterprise Software, File Sharing, Flash Storage, Web Hosting",14,14,14,14,14,14
"Apps, Financial Services, FinTech",6,6,6,6,6,6
"Internet of Things, Semiconductor, Wireless",7,7,7,7,7,7
"Air Transportation, Credit, Insurance, Property Insurance, Real Estate",12,12,12,12,12,12
"Delivery Service, Information Technology, Same Day Delivery",9,9,9,9,9,9
"Automotive, Electric Vehicle, Manufacturing",6,6,6,6,6,6
"Financial Services, Information Technology, Internet, Service Industry, Venture Capital",13,13,13,13,13,13
"Hardware, Manufacturing, Medical Device, Software",8,8,8,8,8,8
"Artificial Intelligence, Cyber Security, Software",7,7,7,7,7,7
"Health Care, Health Diagnostics, Medical, mHealth, Mobile Apps",12,12,12,12,12,12
"CleanTech, GreenTech, Industrial Manufacturing",6,6,6,6,6,6
"Artificial Intelligence, Clinical Trials, Health Care, Machine Learning, Medical",13,13,13,13,13,13
FinTech,1,1,1,1,1,1
"Food and Beverage, Food Delivery, Food Processing",9,9,9,9,9,9
"Blockchain, Finance, Financial Services, Venture Capital",9,9,9,9,9,9
"Collaboration, Information Technology, Messaging, Video Conferencing",9,9,9,9,9,9
"Fitness, Sports, Wellness",5,5,5,5,5,5
"Artificial Intelligence, Autonomous Vehicles, Robotics, Transportation",9,9,9,9,9,9
"E-Commerce, Electronics, FinTech, Internet, Payments",11,11,11,11,11,11
"Credit, Finance, Financial Services, FinTech, Personal Finance",11,11,11,11,11,11
"Advertising, Digital Marketing, Marketing",6,6,6,6,6,6
"Console Games, Gaming, Media and Entertainment, PC Games, Video Games",14,14,14,14,14,14
"Enterprise Software, Knowledge Management, Market Research, Product Research",11,11,11,11,11,11
"Small and Medium Businesses, Software, Telecommunications, Wireless",10,10,10,10,10,10
"Aerospace, Geospatial, Information Technology, Satellite Communication",9,9,9,9,9,9
"Automotive, Electric Vehicle, Mechanical Engineering",7,7,7,7,7,7
"E-Learning, Education, Service Industry",8,8,8,8,8,8
"Artificial Intelligence, Customer Service, Hardware, Industrial Automation, Technical Support",13,13,13,13,13,13
"Content Creators, E-Learning, EdTech, Education",10,10,10,10,10,10
"Business Development, Finance, Financial Services, Venture Capital",10,10,10,10,10,10
"Adventure Travel, Boating, Tourism, Travel",8,8,8,8,8,8
"Big Data, Predictive Analytics, Sales, Software",9,9,9,9,9,9
"Finance, Financial Services, FinTech, Lending, Micro Lending",11,11,11,11,11,11
"Developer APIs, Information Technology, Real Time, Software",10,10,10,10,10,10
"Artificial Intelligence, Logistics, SaaS, Transportation",8,8,8,8,8,8
"Automotive, E-Commerce, Marketing, Sales",9,9,9,9,9,9
"Financial Services, FinTech, Information Technology, Real Estate",10,10,10,10,10,10
"Employee Benefits, Human Resources, Information Technology, Software",10,10,10,10,10,10
"Finance, Financial Services, FinTech, Payments",8,8,8,8,8,8
"E-Commerce, Grocery, Retail, Shopping",9,9,9,9,9,9
"Artificial Intelligence, Computer Vision, Health Care, Industrial, Machine Learning, Public Safety",16,16,16,16,16,16
"CRM, Lead Management, Marketing, SaaS, Sales",10,10,10,10,10,10
"Blockchain, Cryptocurrency, Finance, FinTech, Virtual Currency",10,10,10,10,10,10
"Credit Cards, Finance, Financial Services, FinTech",9,9,9,9,9,9
"Business Intelligence, Software",4,4,4,4,4,4
"Aerospace, Commercial, Space Travel",6,6,6,6,6,6
"Human Resources, Information Technology, Recruiting, Software",9,9,9,9,9,9
"Energy, Fuel Cell, Industrial, Manufacturing, Oil and Gas",12,12,12,12,12,12
"B2B, FinTech, Hardware, Subscription Service",8,8,8,8,8,8
"Document Management, Management Information Systems, Productivity Tools, Software",11,11,11,11,11,11
"B2B, Electronics, Information Technology, Mobile Devices, Rental",11,11,11,11,11,11
"Debt Collections, Financial Services, FinTech, Government, Mobile Payments",12,12,12,12,12,12
"Hospitality, Leisure, Resorts, Travel Accommodations",8,8,8,8,8,8
"E-Commerce, Food and Beverage, Food Delivery, Marketplace",12,12,12,12,12,12
"Finance, Financial Services, Venture Capital",7,7,7,7,7,7
"Banking, Financial Services, FinTech, Payments",8,8,8,8,8,8
"Business Intelligence, Commercial Real Estate, Information Technology, Rental Property",12,12,12,12,12,12
"CleanTech, Home Services, Laundry and Dry-cleaning, Logistics",12,12,12,12,12,12
"Auto Insurance, Financial Services, Insurance",7,7,7,7,7,7
"Analytics, Business Intelligence, SaaS, Software",8,8,8,8,8,8
"Mobile Apps, Video, Video Games, Video Streaming",10,10,10,10,10,10
"Employee Benefits, Enterprise Software, Financial Services, FinTech, Human Resources, Wellness",15,15,15,15,15,15
"Asset Management, Finance, Financial Services, FinTech, Venture Capital",12,12,12,12,12,12
"Consumer Goods, Food and Beverage, Food Processing, Service Industry",12,12,12,12,12,12
"Financial Services, FinTech, Funding Platform, SaaS",9,9,9,9,9,9
